,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,160267.8,0.4039975254630427,0.6878571428571428,0.9166666666666666,0.5858241758241759,0.3416666666666667,0.18670634920634915
std,23333.032739968556,0.0799410918219875,0.15116162287693466,0.13608276348795434,0.09710235123661941,0.09170874455121766,0.07557327584428174
min,118844.0,0.3076923076923077,0.4285714285714285,0.6666666666666666,0.5,0.25,0.1111111111111111
25%,146527.25,0.35876623376623373,0.5848214285714286,0.8125,0.5,0.2708333333333333,0.1428571428571428
50%,161318.5,0.3798076923076923,0.6458333333333333,1.0,0.5714285714285714,0.3333333333333333,0.1547619047619047
75%,180079.25,0.4284482758620689,0.8333333333333334,1.0,0.6115384615384616,0.3333333333333333,0.22916666666666666
max,190493.0,0.5714285714285714,0.8666666666666667,1.0,0.75,0.5,0.3333333333333333
