ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
90729,0.28735632183908044,1.0,1.0,0.96,1.0,0.016129032258064516
118844,0.6,0.9,1.0,0.7027027027027027,0.25,0.125
123664,0.25,1.0,1.0,0.5,0.0,0.0
123676,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0
123677,0.6122448979591837,0.8571428571428571,1.0,0.7692307692307693,0.0,0.0
123686,0.25,0.5,1.0,0.5,0.0,0.0
123688,0.5102040816326531,0.9433962264150944,1.0,0.9803921568627451,0.0,0.0
129034,0.0,0.0,0.0,0.0,0.0,0.0
131006,0.6111111111111112,0.8461538461538461,1.0,0.6875,0.0,0.0
131014,0.6538461538461539,0.8717948717948718,1.0,0.8292682926829268,0.0,0.0
136730,0.578125,0.9487179487179487,1.0,1.0,0.5,0.06896551724137931
136731,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.0,0.0
136736,0.5714285714285714,0.8,1.0,0.7272727272727273,0.0,0.0
145077,0.6956521739130435,0.9142857142857143,1.0,0.8611111111111112,0.25,0.1
150873,0.7605633802816901,0.9310344827586207,1.0,0.9814814814814815,0.2,0.058823529411764705
150878,0.7164179104477612,0.9056603773584906,1.0,0.94,0.16666666666666666,0.058823529411764705
150887,0.75,1.0,1.0,0.75,0.0,0.0
150892,1.0,1.0,1.0,1.0,1.0,1.0
156158,0.7777777777777778,0.8974358974358975,1.0,0.918918918918919,0.2,0.125
158257,0.0,0.0,0.0,0.0,0.0,0.0
169043,0.48,0.6666666666666666,0.8,0.6666666666666666,0.0,0.0
171745,0.5544554455445545,0.9333333333333333,1.0,0.9818181818181818,0.3333333333333333,0.043478260869565216
171750,0.0,0.0,0.0,0.0,0.0,0.0
171754,0.6521739130434783,0.9090909090909091,1.0,0.7837837837837838,0.25,0.1111111111111111
171755,0.0,0.0,0.0,0.0,0.0,0.0
172044,0.3076923076923077,1.0,1.0,0.6666666666666666,0.0,0.0
172045,0.25,0.9375,1.0,1.0,0.5,0.021739130434782608
172046,0.3,0.75,1.0,0.75,0.0,0.0
172207,0.5151515151515151,0.9272727272727272,1.0,0.98,0.3333333333333333,0.04081632653061224
172208,0.6097560975609756,0.9615384615384616,1.0,0.7741935483870968,0.5,0.1
172248,0.5882352941176471,0.9090909090909091,1.0,0.7142857142857143,0.0,0.0
172307,0.2727272727272727,1.0,1.0,0.75,0.0,0.0
172974,0.0,0.0,0.0,0.0,0.0,0.0
175962,0.42105263157894735,0.8888888888888888,1.0,0.6153846153846154,0.0,0.0
179385,0.6578947368421053,0.9259259259259259,0.9259259259259259,0.8928571428571429,0.0,0.0
179393,0.6470588235294118,0.9166666666666666,1.0,0.9818181818181818,0.16666666666666666,0.03333333333333333
179397,0.5,0.75,1.0,0.75,0.0,0.0
179408,0.6666666666666666,0.9259259259259259,1.0,0.96,0.3333333333333333,0.08
179624,0.631578947368421,0.8571428571428571,1.0,0.8571428571428571,0.0,0.0
179652,0.726027397260274,0.9137931034482759,1.0,0.9814814814814815,0.0,0.0
179819,0.5,0.6666666666666666,1.0,0.8,0.0,0.0
179822,0.6727272727272727,0.9024390243902439,1.0,0.7777777777777778,0.3333333333333333,0.2
179823,0.675,0.9473684210526315,1.0,1.0,0.4,0.07142857142857142
179944,0.7941176470588235,0.9310344827586207,1.0,0.9814814814814815,0.2,0.07142857142857142
180984,0.42857142857142855,1.0,1.0,0.75,0.0,0.0
182856,0.6136363636363636,0.8181818181818182,1.0,0.8181818181818182,0.0,0.0
182913,0.5555555555555556,0.9090909090909091,1.0,0.7142857142857143,0.0,0.0
183413,0.0,0.0,0.0,0.0,0.0,0.0
183414,0.6119402985074627,0.9111111111111111,1.0,0.9761904761904762,0.0,0.0
186021,0.704225352112676,0.9090909090909091,1.0,1.0,0.16666666666666666,0.045454545454545456
186024,0.6470588235294118,0.8148148148148148,1.0,0.8148148148148148,0.0,0.0
186036,0.6363636363636364,0.7777777777777778,1.0,0.6363636363636364,0.0,0.0
189048,0.625,0.8928571428571429,1.0,0.8,0.25,0.1
190493,0.7777777777777778,1.0,1.0,0.875,0.0,0.0
190494,0.6,0.8571428571428571,1.0,0.6666666666666666,0.0,0.0
190495,0.7142857142857143,0.9090909090909091,1.0,1.0,0.5,0.2
190499,0.5555555555555556,0.7142857142857143,0.8,0.6666666666666666,0.5,0.3333333333333333
190508,0.7368421052631579,0.9130434782608695,1.0,0.9111111111111111,0.2,0.08333333333333333
190615,0.8222222222222222,0.9736842105263158,1.0,0.972972972972973,0.5,0.125
191284,0.8115942028985508,0.9655172413793104,1.0,0.9642857142857143,0.5,0.15384615384615385
198372,0.7352941176470589,0.9090909090909091,1.0,0.9615384615384616,0.0,0.0
198543,0.7619047619047619,0.8888888888888888,0.9411764705882353,0.9411764705882353,0.0,0.0
202261,0.7457627118644068,0.8979591836734694,1.0,0.9777777777777777,0.0,0.0
