,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,64.0,64.0,64.0,64.0,64.0,64.0,64.0
mean,166236.0,0.35627394074948193,0.5114866726499558,0.7604724702380952,0.7029451633892423,0.049479166666666664,0.019885799963924963
std,24388.68516601467,0.2245908516484293,0.31726437991956186,0.3755631519756518,0.34089411719898205,0.1300511617546008,0.053676948577260665
min,90729.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,150884.75,0.19545454545454546,0.25,0.575,0.5,0.0,0.0
50%,172126.5,0.35416666666666663,0.5916666666666667,1.0,0.8333333333333334,0.0,0.0
75%,183038.0,0.5825426944971537,0.8201581027667985,1.0,0.95,0.0,0.0
max,202261.0,0.7037037037037037,1.0,1.0,1.0,0.5,0.25
