,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,38.0,38.0,38.0,38.0,38.0,38.0,38.0
mean,169739.15789473685,0.3974487429310956,0.8160049510647355,0.9662698412698413,0.5109660221009414,0.46535087719298235,0.14894774772870745
std,22784.88774951896,0.04787069342782447,0.1752561776881764,0.07476723519822756,0.09127223085937783,0.2536632980014324,0.07546540291799489
min,90729.0,0.273972602739726,0.4545454545454545,0.75,0.3333333333333333,0.1666666666666666,0.0625
25%,171746.75,0.3695156695156695,0.6666666666666666,1.0,0.4509803921568627,0.21250000000000002,0.0909090909090909
50%,172207.5,0.3870967741935484,0.8786764705882353,1.0,0.48529411764705876,0.5,0.12132352941176469
75%,182898.75,0.4128038439796495,0.96,1.0,0.5714285714285714,0.5,0.19166666666666665
max,198543.0,0.5454545454545454,1.0,1.0,0.75,1.0,0.3333333333333333
