,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,64.0,64.0,64.0,64.0,64.0,64.0,64.0
mean,166590.953125,0.273731737012987,0.3838541666666666,0.53515625,0.3436383928571428,0.0390625,0.026041666666666664
std,24422.708731658302,0.29310175843235714,0.3763742456004698,0.47947389219190106,0.3224868652541323,0.18483556613362187,0.13678969169161256
min,90729.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,150890.75,0.0,0.0,0.0,0.0,0.0,0.0
50%,172207.5,0.25,0.45,0.625,0.5,0.0,0.0
75%,183038.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0
max,202261.0,1.0,1.0,1.0,1.0,1.0,1.0
