,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO
28795,183413,"0,7889",10,29/02/16,ES70R,2016,1,8,30,Formado
28800,183413,"0,7889",10,29/02/16,MA71A,2016,1,"7,1",90,Formado
28804,183413,"0,7889",10,29/02/16,ENADE I,2016,1,,0,Formado
28805,183413,"0,7889",10,29/02/16,IF61B,2016,1,8,60,Formado
28807,183413,"0,7889",10,29/02/16,MA71B,2016,1,6,90,Formado
28811,183413,"0,7889",10,29/02/16,MA61A,2016,1,"7,1",90,Formado
28812,183413,"0,7889",10,29/02/16,FI61A,2016,1,6,75,Formado
28813,183413,"0,7889",10,29/02/16,MA61B,2016,1,6,90,Formado
28814,183413,"0,7889",10,29/02/16,IF61C,2016,1,"8,9",90,Formado
28818,183413,"0,7889",10,29/02/16,ES61A,2016,1,8,30,Formado
28880,183413,"0,7889",10,29/02/16,FI71M,2016,1,6,60,Formado
28799,183413,"0,7889",10,29/02/16,FI73A,2016,2,"4,5",75,Formado
28802,183413,"0,7889",10,29/02/16,FI72M,2016,2,4,60,Formado
28806,183413,"0,7889",10,29/02/16,IF62C,2016,2,"8,4",60,Formado
28808,183413,"0,7889",10,29/02/16,MA72A,2016,2,"8,5",60,Formado
28810,183413,"0,7889",10,29/02/16,MA62A,2016,2,"8,5",60,Formado
28817,183413,"0,7889",10,29/02/16,IF62J,2016,2,"9,5",45,Formado
28819,183413,"0,7889",10,29/02/16,QB62A,2016,2,"6,1",90,Formado
28871,183413,"0,7889",10,29/02/16,QB70D,2016,2,"6,1",90,Formado
28881,183413,"0,7889",10,29/02/16,EL62O,2016,2,10,45,Formado
28882,183413,"0,7889",10,29/02/16,FI72N,2016,2,"7,1",30,Formado
28796,183413,"0,7889",10,29/02/16,MA70G,2017,1,"6,7",60,Formado
28797,183413,"0,7889",10,29/02/16,MA70H,2017,1,"8,8",60,Formado
28798,183413,"0,7889",10,29/02/16,MA73A,2017,1,"6,8",60,Formado
28801,183413,"0,7889",10,29/02/16,FI72M,2017,1,"8,8",60,Formado
28803,183413,"0,7889",10,29/02/16,QB70C,2017,1,"6,1",75,Formado
28824,183413,"0,7889",10,29/02/16,EEF11,2017,1,10,30,Formado
28825,183413,"0,7889",10,29/02/16,EEX21,2017,1,"9,5",45,Formado
28841,183413,"0,7889",10,29/02/16,FI71S,2017,1,6,60,Formado
28849,183413,"0,7889",10,29/02/16,EEB21,2017,1,"7,3",45,Formado
28852,183413,"0,7889",10,29/02/16,FI72S,2017,1,"8,8",60,Formado
28853,183413,"0,7889",10,29/02/16,FI73S,2017,1,"8,8",60,Formado
28856,183413,"0,7889",10,29/02/16,CSD20,2017,1,8,45,Formado
28868,183413,"0,7889",10,29/02/16,CSE20,2017,1,"8,4",60,Formado
28869,183413,"0,7889",10,29/02/16,CSF20,2017,1,"8,5",45,Formado
28875,183413,"0,7889",10,29/02/16,CSF13,2017,1,"8,9",90,Formado
28876,183413,"0,7889",10,29/02/16,FI73M,2017,1,"8,8",60,Formado
28877,183413,"0,7889",10,29/02/16,CSD21,2017,1,"9,7",45,Formado
28823,183413,"0,7889",10,29/02/16,FI74S,2017,2,"8,7",60,Formado
28828,183413,"0,7889",10,29/02/16,FI74N,2017,2,"7,4",30,Formado
28830,183413,"0,7889",10,29/02/16,EEQ31,2017,2,"7,3",75,Formado
28845,183413,"0,7889",10,29/02/16,EEB31,2017,2,"7,8",90,Formado
28851,183413,"0,7889",10,29/02/16,EEB22,2017,2,"8,2",45,Formado
28872,183413,"0,7889",10,29/02/16,FI74M,2017,2,"8,7",60,Formado
28878,183413,"0,7889",10,29/02/16,CSF30,2017,2,"8,6",45,Formado
28821,183413,"0,7889",10,29/02/16,EEE31,2018,1,"8,5",60,Formado
28822,183413,"0,7889",10,29/02/16,CSW30,2018,1,"9,1",60,Formado
28843,183413,"0,7889",10,29/02/16,CSR31,2018,1,"7,4",30,Formado
28858,183413,"0,7889",10,29/02/16,CSG20,2018,1,10,45,Formado
28862,183413,"0,7889",10,29/02/16,CSB30,2018,1,"8,4",60,Formado
28863,183413,"0,7889",10,29/02/16,CSA30,2018,1,"8,6",45,Formado
28879,183413,"0,7889",10,29/02/16,ES70G,2018,1,10,45,Formado
28829,183413,"0,7889",10,29/02/16,EEX22,2018,2,"7,5",45,Formado
28831,183413,"0,7889",10,29/02/16,CSW40,2018,2,"7,7",60,Formado
28833,183413,"0,7889",10,29/02/16,EEX11,2018,2,"8,5",45,Formado
28842,183413,"0,7889",10,29/02/16,EEE32,2018,2,"7,1",60,Formado
28857,183413,"0,7889",10,29/02/16,CSE30,2018,2,"6,6",60,Formado
28860,183413,"0,7889",10,29/02/16,CSA31,2018,2,8,45,Formado
28864,183413,"0,7889",10,29/02/16,CSO30,2018,2,"7,1",60,Formado
28826,183413,"0,7889",10,29/02/16,EEC21,2019,1,"8,5",60,Formado
28827,183413,"0,7889",10,29/02/16,EEQ32,2019,1,"7,3",45,Formado
28832,183413,"0,7889",10,29/02/16,CSW41,2019,1,"8,1",60,Formado
28847,183413,"0,7889",10,29/02/16,CSI30,2019,1,"7,8",45,Formado
28861,183413,"0,7889",10,29/02/16,CSW42,2019,1,"7,2",60,Formado
28865,183413,"0,7889",10,29/02/16,EL76A,2019,1,"8,5",60,Formado
28866,183413,"0,7889",10,29/02/16,CSR30,2019,1,"8,2",45,Formado
28809,183413,"0,7889",10,29/02/16,GE70D,2019,2,"8,6",30,Formado
28848,183413,"0,7889",10,29/02/16,EEX23,2019,2,"8,3",45,Formado
28850,183413,"0,7889",10,29/02/16,EEC31,2019,2,"7,7",30,Formado
28854,183413,"0,7889",10,29/02/16,EEF21,2019,2,10,30,Formado
28883,183413,"0,7889",10,29/02/16,MA70C,2019,2,9,60,Formado
28792,183413,"0,7889",10,29/02/16,QB70E,2020,1,-1,30,Formado
28794,183413,"0,7889",10,29/02/16,ES70P,2020,1,-1,45,Formado
28838,183413,"0,7889",10,29/02/16,CSH44,2020,1,"7,3",45,Formado
28844,183413,"0,7889",10,29/02/16,EEF31,2020,1,"9,5",30,Formado
