,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,156003.5,0.4177081741787624,0.6957936507936509,0.95,0.5619696969696969,0.47833333333333333,0.27928571428571425
std,29310.90985831423,0.0989203820519558,0.23004864179780005,0.15811388300841897,0.10967029550870944,0.2174558277835686,0.13361671510633508
min,90729.0,0.2857142857142857,0.2857142857142857,0.5,0.4,0.2,0.1428571428571428
25%,146530.75,0.35876623376623373,0.5416666666666666,1.0,0.5,0.375,0.17499999999999996
50%,171745.5,0.4,0.775,1.0,0.5,0.5,0.225
75%,171752.75,0.4926470588235294,0.8333333333333334,1.0,0.6590909090909091,0.5,0.3333333333333333
max,182856.0,0.6,1.0,1.0,0.75,1.0,0.5
