,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,28.0,28.0,28.0,28.0,28.0,28.0,28.0
mean,170551.7142857143,0.5451420121973929,0.7578793704570103,0.9696969696969697,0.8639820601286766,0.29880952380952375,0.12986408432837002
std,22897.280380085158,0.14521094193926848,0.16064457234622384,0.10276257550189799,0.14468298226533402,0.17608736675009637,0.0662624103819539
min,90729.0,0.25,0.3333333333333333,0.5,0.5,0.2,0.0714285714285714
25%,171748.25,0.4214285714285714,0.6499999999999999,1.0,0.8333333333333334,0.25,0.1
50%,172228.0,0.6141439205955335,0.8297101449275363,1.0,0.9473684210526316,0.25,0.1111111111111111
75%,183690.0,0.6580459770114943,0.8695652173913043,1.0,0.95,0.25,0.14880952380952375
max,191284.0,0.7407407407407407,1.0,1.0,1.0,1.0,0.4285714285714285
