,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,48.0,48.0,48.0,48.0,48.0,48.0,48.0
mean,168880.0,0.40707885969947294,0.8088446812905016,0.962797619047619,0.5299657888688604,0.5777777777777778,0.16932547470231293
std,24442.259071342778,0.05723367854558674,0.17756006996861062,0.0770313111581378,0.08758763803515938,0.33530151797900176,0.10732224979686303
min,90729.0,0.273972602739726,0.4545454545454545,0.75,0.3333333333333333,0.1666666666666666,0.0588235294117647
25%,171743.75,0.3708183990442055,0.6590909090909091,1.0,0.4509803921568627,0.25,0.0909090909090909
50%,172640.5,0.391304347826087,0.8333333333333334,1.0,0.5194902548725637,0.55,0.1339285714285714
75%,183038.0,0.4375,1.0,1.0,0.5800438596491229,1.0,0.2181818181818182
max,202261.0,0.6363636363636364,1.0,1.0,0.75,1.0,0.5
