,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,8.0,8.0,8.0,8.0,8.0,8.0,8.0
mean,161289.5,0.4401907732790086,0.7123015873015873,0.9375,0.6128787878787878,0.47916666666666663,0.2720238095238095
std,19712.53507651558,0.10018261524625627,0.1762828913319102,0.11572751247156893,0.10652957542138018,0.22603378031008958,0.14589041642768102
min,123664.0,0.2857142857142857,0.5,0.75,0.5,0.3333333333333333,0.1428571428571428
25%,149427.75,0.36201298701298695,0.5714285714285714,0.9375,0.5,0.3333333333333333,0.1666666666666666
50%,171745.5,0.457516339869281,0.6666666666666666,1.0,0.6181818181818182,0.41666666666666663,0.225
75%,171822.75,0.5,0.8472222222222222,1.0,0.6875,0.5,0.3125
max,183413.0,0.6,1.0,1.0,0.75,1.0,0.5
