,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,66.0,66.0,66.0,66.0,66.0,66.0,66.0
mean,166665.25757575757,0.33172147420810527,0.47230038480038483,0.7515085924176833,0.5022158174564592,0.05303030303030303,0.03257575757575757
std,24135.11385022667,0.24595951395328025,0.2957921234709681,0.39565968655883943,0.28837502263590414,0.1727334068350122,0.10461291360946647
min,90729.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,150888.25,0.2,0.3333333333333333,0.6666666666666666,0.5,0.0,0.0
50%,172207.5,0.3333333333333333,0.5,1.0,0.5607142857142857,0.0,0.0
75%,182898.75,0.4088235294117647,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0
max,202261.0,1.0,1.0,1.0,1.0,1.0,0.5
