,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,63.0,63.0,63.0,63.0,63.0,63.0,63.0
mean,167005.26984126985,0.3729797317263589,0.7185923391783504,0.9503401360544217,0.5307468630274689,0.2037037037037037,0.076508682986274
std,24016.985149094333,0.06007881287478565,0.19952827464393172,0.12524739733119472,0.08260772570358028,0.21258446443734194,0.08642551892528934
min,90729.0,0.25,0.1,0.1666666666666666,0.3333333333333333,0.0,0.0
25%,150889.5,0.3333333333333333,0.5714285714285714,1.0,0.4509803921568627,0.0,0.0
50%,172208.0,0.375,0.75,1.0,0.5172413793103449,0.2,0.0714285714285714
75%,182884.5,0.4,0.92,1.0,0.5811403508771931,0.3333333333333333,0.1111111111111111
max,202261.0,0.5454545454545454,1.0,1.0,0.75,1.0,0.3333333333333333
