,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,66.0,66.0,66.0,66.0,66.0,66.0,66.0
mean,166665.25757575757,0.3606875439707094,0.6309677300319012,0.925624754033845,0.5598373973112405,0.08358585858585858,0.049992621015348286
std,24135.11385022667,0.10324855891734142,0.2163225592391611,0.20929414287089457,0.1412768601070847,0.1896801722072387,0.11146967373237919
min,90729.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,150888.25,0.30833333333333335,0.5,1.0,0.5,0.0,0.0
50%,172207.5,0.3684210526315789,0.6666666666666666,1.0,0.5419580419580419,0.0,0.0
75%,182898.75,0.4,0.7857142857142857,1.0,0.6115384615384616,0.0,0.0
max,202261.0,0.6,1.0,1.0,1.0,1.0,0.5
