,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,62.0,62.0,62.0,62.0,62.0,62.0,62.0
mean,165623.43548387097,0.2633172438461812,0.4611452466291176,0.5961021505376344,0.501600594745756,0.24865591397849465,0.07989805893031698
std,24066.137206729843,0.2319789469004245,0.37908827479509427,0.45878323110863956,0.3923605976960853,0.34358946341886865,0.11722544003561618
min,90729.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,150888.25,0.0,0.0,0.0,0.0,0.0,0.0
50%,172045.5,0.25,0.5357142857142857,0.9166666666666666,0.5833333333333333,0.0,0.0
75%,179913.75,0.4214285714285714,0.8,1.0,0.8511904761904762,0.5,0.1428571428571428
max,202261.0,0.8,1.0,1.0,1.0,1.0,0.5
