,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,159122.6,0.4239993829699712,0.8800000000000001,0.9666666666666666,0.5494696969696969,0.8,0.27706349206349207
std,24618.928035152137,0.09989403409867707,0.13328702899669356,0.10540925533894599,0.09147136023862157,0.25819888974716115,0.14157441455576258
min,123664.0,0.2307692307692307,0.6666666666666666,0.6666666666666666,0.4,0.5,0.1111111111111111
25%,146527.25,0.38125,0.7625,1.0,0.5,0.5,0.17499999999999996
50%,161316.0,0.4,0.9166666666666667,1.0,0.5,1.0,0.25
75%,171752.75,0.4926470588235294,1.0,1.0,0.6335227272727273,1.0,0.36250000000000004
max,198372.0,0.6,1.0,1.0,0.6666666666666666,1.0,0.5
