,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,65.0,65.0,65.0,65.0,65.0,65.0,65.0
mean,166997.38461538462,0.3745667329254689,0.6080660151813997,0.927044622044622,0.5607579726544905,0.15,0.0809224109224109
std,24170.461998902392,0.1025055971832262,0.21288132500661539,0.21060232584308997,0.14217667426711333,0.24218693996351018,0.11881126486739291
min,90729.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,150892.0,0.3333333333333333,0.5,1.0,0.5,0.0,0.0
50%,172208.0,0.3793103448275862,0.6666666666666666,1.0,0.5454545454545454,0.0,0.0
75%,182913.0,0.4210526315789473,0.7333333333333333,1.0,0.6153846153846154,0.25,0.1428571428571428
max,202261.0,0.6363636363636364,1.0,1.0,1.0,1.0,0.5
