,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,167649.5,0.42568310161699685,0.7198592148592149,0.983015873015873,0.5730661769792204,0.32888888888888884,0.17644961519961516
std,26507.716716081,0.07388995460021419,0.15470904834959145,0.0523687600877415,0.09782691154399324,0.20594299202507502,0.06712109137545134
min,90729.0,0.273972602739726,0.4285714285714285,0.8,0.3333333333333333,0.1666666666666666,0.0625
25%,156349.25,0.3875448028673835,0.60625,1.0,0.5217391304347826,0.2,0.1428571428571428
50%,172228.0,0.418010752688172,0.7386363636363636,1.0,0.5419580419580419,0.25,0.1666666666666666
75%,187514.25,0.45,0.809375,1.0,0.625,0.3333333333333333,0.2
max,202261.0,0.5714285714285714,1.0,1.0,0.8,1.0,0.3333333333333333
