,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,14.0,14.0,14.0,14.0,14.0,14.0,14.0
mean,164091.0,0.4428967118869903,0.720392107892108,0.9547619047619048,0.5716487877202164,0.39404761904761904,0.23567949907235622
std,30941.99324294015,0.09956038945716986,0.10868146932440427,0.10094184062743848,0.10536871189772562,0.21942106643530013,0.12246835222689005
min,90729.0,0.273972602739726,0.6,0.6666666666666666,0.3333333333333333,0.2,0.0625
25%,150881.5,0.3745519713261648,0.6666666666666666,1.0,0.5,0.25,0.11904761904761903
50%,179389.0,0.4392857142857143,0.6794871794871795,1.0,0.5714285714285714,0.3333333333333333,0.26136363636363635
75%,182036.75,0.5340909090909091,0.75,1.0,0.6225961538461539,0.5,0.3214285714285714
max,202261.0,0.6,1.0,1.0,0.75,1.0,0.5
