,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,16.0,16.0,16.0,16.0,16.0,16.0,16.0
mean,163463.4375,0.43300466486128253,0.8265376984126984,0.921875,0.5919800685425685,0.6875,0.2656746031746032
std,28751.368581846094,0.10285976215109563,0.17582663437031787,0.1535648915798332,0.11257552407213947,0.29107081994288303,0.14035118343112815
min,90729.0,0.2307692307692307,0.4,0.5,0.4,0.3333333333333333,0.1111111111111111
25%,151135.75,0.3721590909090909,0.75,0.9583333333333334,0.5,0.5,0.1428571428571428
50%,171899.5,0.4,0.8,1.0,0.5634920634920635,0.5,0.25
75%,180686.25,0.4988888888888889,1.0,1.0,0.6666666666666666,1.0,0.35
max,198372.0,0.6,1.0,1.0,0.8,1.0,0.5
