,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,66.0,66.0,66.0,66.0,66.0,66.0,66.0
mean,166667.15151515152,0.31703502429438263,0.45911495911495914,0.6786435786435785,0.4441296077659714,0.06060606060606061,0.03535353535353535
std,24136.16681709927,0.27863877816197385,0.346134598486597,0.4422288602659025,0.31088176408000334,0.2059714602177749,0.11790605964851382
min,90729.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,150888.25,0.0,0.0,0.0,0.0,0.0,0.0
50%,172207.5,0.2928571428571428,0.5,1.0,0.5,0.0,0.0
75%,182898.75,0.45726495726495725,0.75,1.0,0.6666666666666666,0.0,0.0
max,202261.0,1.0,1.0,1.0,1.0,1.0,0.5
