ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
90729,0.2727272727272727,0.75,1.0,0.6666666666666666,0.5,0.125
118844,0.0,0.0,0.0,0.0,0.0,0.0
123676,0.0,0.0,0.0,0.0,0.0,0.0
123677,0.0,0.0,0.0,0.0,0.0,0.0
123686,0.09090909090909091,0.5,1.0,0.5,0.0,0.0
123688,0.0,0.0,0.0,0.0,0.0,0.0
129034,0.0,0.0,0.0,0.0,0.0,0.0
131006,0.0,0.0,0.0,0.0,0.0,0.0
131014,0.0,0.0,0.0,0.0,0.0,0.0
136731,0.0,0.0,0.0,0.0,0.0,0.0
136736,0.0,0.0,0.0,0.0,0.0,0.0
150873,0.0,0.0,0.0,0.0,0.0,0.0
150887,0.2857142857142857,1.0,1.0,0.6666666666666666,0.0,0.0
151217,0.0,0.0,0.0,0.0,0.0,0.0
158257,0.0,0.0,0.0,0.0,0.0,0.0
169043,0.0,0.0,0.0,0.0,0.0,0.0
171740,0.2,0.5,1.0,0.5,0.0,0.0
171745,0.0,0.0,0.0,0.0,0.0,0.0
171749,0.0,0.0,0.0,0.0,0.0,0.0
171750,0.0,0.0,0.0,0.0,0.0,0.0
171754,0.2,0.5,0.0,0.0,0.5,0.25
171755,0.0,0.0,0.0,0.0,0.0,0.0
172046,0.0,0.0,0.0,0.0,0.0,0.0
172207,0.0,0.0,0.0,0.0,0.0,0.0
172208,0.0,0.0,0.0,0.0,0.0,0.0
172248,0.0,0.0,0.0,0.0,0.0,0.0
172974,0.0,0.0,0.0,0.0,0.0,0.0
175962,0.0,0.0,0.0,0.0,0.0,0.0
179393,0.0,0.0,0.0,0.0,0.0,0.0
179397,0.0,0.0,0.0,0.0,0.0,0.0
179408,0.0,0.0,0.0,0.0,0.0,0.0
179624,0.0,0.0,0.0,0.0,0.0,0.0
179652,0.0,0.0,0.0,0.0,0.0,0.0
179819,0.0,0.0,0.0,0.0,0.0,0.0
179822,0.0,0.0,0.0,0.0,0.0,0.0
179823,0.0,0.0,0.0,0.0,0.0,0.0
179944,0.0,0.0,0.0,0.0,0.0,0.0
182913,0.0,0.0,0.0,0.0,0.0,0.0
183413,0.25,1.0,1.0,0.5,0.0,0.0
183414,0.0,0.0,0.0,0.0,0.0,0.0
186024,0.0,0.0,0.0,0.0,0.0,0.0
186036,0.0,0.0,0.0,0.0,0.0,0.0
189048,0.5,0.5,1.0,1.0,0.0,0.0
190493,0.0,0.0,0.0,0.0,0.0,0.0
190494,0.0,0.0,0.0,0.0,0.0,0.0
190499,0.5,0.5,0.5,1.0,0.0,0.0
198543,0.0,0.0,0.0,0.0,0.0,0.0
202261,0.0,0.0,0.0,0.0,0.0,0.0
