,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,63.0,63.0,63.0,63.0,63.0,63.0,63.0
mean,166707.42857142858,0.4380831716418287,0.6256352716756441,0.8881413339746672,0.8084882617150788,0.13597883597883598,0.06014241490431965
std,24294.43538816025,0.196811534830427,0.2576323965623597,0.2670021553674159,0.25289808695666827,0.1941622559194057,0.08194371086189844
min,90729.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,150889.5,0.3333333333333333,0.5,1.0,0.775,0.0,0.0
50%,172207.0,0.4444444444444444,0.6363636363636364,1.0,0.9166666666666666,0.0,0.0
75%,183163.0,0.6141439205955335,0.8452380952380952,1.0,0.95,0.25,0.1111111111111111
max,202261.0,0.7407407407407407,1.0,1.0,1.0,1.0,0.4285714285714285
