,ID_ANONIMO,PRECISION,RECALL,PRECISION_OB,RECALL_OB,PRECISION_OP,RECALL_OP
count,4.0,4.0,4.0,4.0,4.0,4.0,4.0
mean,168058.75,0.5267857142857143,0.875,1.0,0.6011904761904762,0.75,0.494047619047619
std,22441.701114591706,0.1826091137796089,0.15957118462605635,0.0,0.08103403911373862,0.28867513459481287,0.3675083104865032
min,150892.0,0.3571428571428571,0.6666666666666666,1.0,0.5,0.5,0.1428571428571428
25%,151135.75,0.3892857142857143,0.7916666666666667,1.0,0.5535714285714286,0.5,0.2857142857142857
50%,161485.5,0.5,0.9166666666666667,1.0,0.6190476190476191,0.75,0.41666666666666663
75%,178408.5,0.6375,1.0,1.0,0.6666666666666666,1.0,0.625
max,198372.0,0.75,1.0,1.0,0.6666666666666666,1.0,1.0
