Source,Target,Type,Id,Label,Weight
ENADE I-2017/2,FI72N-2018/1,Directed,109,,1
DI65H-2021/2,GE73D-2022/1,Directed,110,,1
DI65H-2021/2,CSW41-2022/1,Directed,111,,1
DI65H-2021/2,CSM44-2022/1,Directed,112,,1
DI65H-2021/2,CSX42-2022/1,Directed,113,,1
DI65H-2021/2,CSH42-2022/1,Directed,114,,1
DI65H-2021/2,EEC31-2022/1,Directed,115,,1
DI65H-2021/2,EL77A-2022/1,Directed,116,,1
DI65H-2021/2,CSS30-2022/1,Directed,117,,1
DI65H-2021/2,DI84D-2022/1,Directed,118,,1
EL66E-2020/2,QB70E-2021/1,Directed,119,,1
EL66E-2020/2,GE70H-2021/1,Directed,120,,1
EL66E-2020/2,ES70G-2021/1,Directed,121,,1
EL66E-2020/2,GE70D-2021/1,Directed,122,,1
EL66E-2020/2,ELB23-2021/1,Directed,123,,1
EL66E-2020/2,EEX23-2021/1,Directed,124,,1
EL66E-2020/2,EEF21-2021/1,Directed,125,,1
EL66E-2020/2,EEF31-2021/1,Directed,126,,1
EL66E-2020/2,CSE30-2021/1,Directed,127,,1
MA71B-2017/2,FI72M-2018/1,Directed,128,,1
MA71B-2017/2,QB70C-2018/1,Directed,129,,1
MA71B-2017/2,MA72A-2018/1,Directed,130,,1
MA71B-2017/2,EEX11-2018/1,Directed,131,,1
MA71B-2017/2,FI72S-2018/1,Directed,132,,1
MA71B-2017/2,CSE20-2018/1,Directed,133,,1
MA71B-2017/2,CSF20-2018/1,Directed,134,,1
MA71B-2017/2,FI72N-2018/1,Directed,135,,1
MA72A-2018/1,MA70G-2018/2,Directed,136,,1
MA72A-2018/1,MA70H-2018/2,Directed,137,,1
MA72A-2018/1,MA73A-2018/2,Directed,138,,1
MA72A-2018/1,EEX21-2018/2,Directed,139,,1
MA72A-2018/1,EEB21-2018/2,Directed,140,,1
MA72A-2018/1,FI73M-2018/2,Directed,141,,1
MA72A-2018/1,CSF30-2018/2,Directed,142,,1
GE70D-2021/1,ES70P-2021/2,Directed,143,,1
GE70D-2021/1,DI65H-2021/2,Directed,144,,1
GE70D-2021/1,ELF51-2021/2,Directed,145,,1
GE70D-2021/1,ELTE3-2021/2,Directed,146,,1
GE70D-2021/1,ELF62-2021/2,Directed,147,,1
GE70D-2021/1,EEC21-2021/2,Directed,148,,1
GE70D-2021/1,EEQ32-2021/2,Directed,149,,1
GE70D-2021/1,CSI30-2021/2,Directed,150,,1
GE70D-2021/1,CSH30-2021/2,Directed,151,,1
GE70D-2021/1,CSW42-2021/2,Directed,152,,1
GE70D-2021/1,CSR30-2021/2,Directed,153,,1
ELF51-2021/2,GE73D-2022/1,Directed,154,,1
ELF51-2021/2,CSW41-2022/1,Directed,155,,1
ELF51-2021/2,CSM44-2022/1,Directed,156,,1
ELF51-2021/2,CSX42-2022/1,Directed,157,,1
ELF51-2021/2,CSH42-2022/1,Directed,158,,1
ELF51-2021/2,EEC31-2022/1,Directed,159,,1
ELF51-2021/2,EL77A-2022/1,Directed,160,,1
ELF51-2021/2,CSS30-2022/1,Directed,161,,1
ELF51-2021/2,DI84D-2022/1,Directed,162,,1
ELB23-2021/1,ES70P-2021/2,Directed,163,,1
ELB23-2021/1,DI65H-2021/2,Directed,164,,1
ELB23-2021/1,ELF51-2021/2,Directed,165,,1
ELB23-2021/1,ELTE3-2021/2,Directed,166,,1
ELB23-2021/1,ELF62-2021/2,Directed,167,,1
ELB23-2021/1,EEC21-2021/2,Directed,168,,1
ELB23-2021/1,EEQ32-2021/2,Directed,169,,1
ELB23-2021/1,CSI30-2021/2,Directed,170,,1
ELB23-2021/1,CSH30-2021/2,Directed,171,,1
ELB23-2021/1,CSW42-2021/2,Directed,172,,1
ELB23-2021/1,CSR30-2021/2,Directed,173,,1
ELTE3-2021/2,GE73D-2022/1,Directed,174,,1
ELTE3-2021/2,CSW41-2022/1,Directed,175,,1
ELTE3-2021/2,CSM44-2022/1,Directed,176,,1
ELTE3-2021/2,CSX42-2022/1,Directed,177,,1
ELTE3-2021/2,CSH42-2022/1,Directed,178,,1
ELTE3-2021/2,EEC31-2022/1,Directed,179,,1
ELTE3-2021/2,EL77A-2022/1,Directed,180,,1
ELTE3-2021/2,CSS30-2022/1,Directed,181,,1
ELTE3-2021/2,DI84D-2022/1,Directed,182,,1
ELF62-2021/2,GE73D-2022/1,Directed,183,,1
ELF62-2021/2,CSW41-2022/1,Directed,184,,1
ELF62-2021/2,CSM44-2022/1,Directed,185,,1
ELF62-2021/2,CSX42-2022/1,Directed,186,,1
ELF62-2021/2,CSH42-2022/1,Directed,187,,1
ELF62-2021/2,EEC31-2022/1,Directed,188,,1
ELF62-2021/2,EL77A-2022/1,Directed,189,,1
ELF62-2021/2,CSS30-2022/1,Directed,190,,1
ELF62-2021/2,DI84D-2022/1,Directed,191,,1
FI74N-2019/1,EEE31-2019/2,Directed,192,,1
FI74N-2019/1,CSW30-2019/2,Directed,193,,1
FI74N-2019/1,CSR31-2019/2,Directed,194,,1
FI74N-2019/1,CSG20-2019/2,Directed,195,,1
FI74N-2019/1,CSB30-2019/2,Directed,196,,1
FI74N-2019/1,CSA30-2019/2,Directed,197,,1
EEX22-2020/2,QB70E-2021/1,Directed,198,,1
