,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO,RowNumber
15067,123664.0,0.8136,10,18/03/15,IF61C,2015,1,9.4,90,Formado,1
15070,123664.0,0.8136,10,18/03/15,MA61B,2015,1,7.8,90,Formado,2
15071,123664.0,0.8136,10,18/03/15,MA61A,2015,1,6.9,90,Formado,3
15072,123664.0,0.8136,10,18/03/15,FI61A,2015,1,8.5,75,Formado,4
15083,123664.0,0.8136,10,18/03/15,ES61A,2015,1,8.1,30,Formado,5
15090,123664.0,0.8136,10,18/03/15,MA71B,2015,1,7.8,90,Formado,6
15098,123664.0,0.8136,10,18/03/15,IF61B,2015,1,9.3,60,Formado,7
15109,123664.0,0.8136,10,18/03/15,FI71M,2015,1,8.5,60,Formado,8
15114,123664.0,0.8136,10,18/03/15,MA71A,2015,1,6.9,90,Formado,9
15127,123664.0,0.8136,10,18/03/15,ES70R,2015,1,8.1,30,Formado,10
15066,123664.0,0.8136,10,18/03/15,FI63A,2015,2,9.6,75,Formado,11
15068,123664.0,0.8136,10,18/03/15,FI62A,2015,2,6.9,75,Formado,12
15073,123664.0,0.8136,10,18/03/15,MA62A,2015,2,7.0,60,Formado,13
15084,123664.0,0.8136,10,18/03/15,QB62A,2015,2,7.7,90,Formado,14
15085,123664.0,0.8136,10,18/03/15,IF62J,2015,2,7.5,45,Formado,15
15091,123664.0,0.8136,10,18/03/15,MA72A,2015,2,7.0,60,Formado,16
15097,123664.0,0.8136,10,18/03/15,IF62C,2015,2,8.5,60,Formado,17
15104,123664.0,0.8136,10,18/03/15,FI72N,2015,2,7.5,30,Formado,18
15110,123664.0,0.8136,10,18/03/15,EL62O,2015,2,10.0,45,Formado,19
15113,123664.0,0.8136,10,18/03/15,FI73A,2015,2,9.6,75,Formado,20
15115,123664.0,0.8136,10,18/03/15,FI72M,2015,2,6.6,60,Formado,21
15123,123664.0,0.8136,10,18/03/15,QB70D,2015,2,7.7,90,Formado,22
15069,123664.0,0.8136,10,18/03/15,MA63B,2016,1,9.6,60,Formado,23
15074,123664.0,0.8136,10,18/03/15,MA63A,2016,1,6.7,60,Formado,24
15075,123664.0,0.8136,10,18/03/15,MA65A,2016,1,7.7,60,Formado,25
15079,123664.0,0.8136,10,18/03/15,IF63E,2016,1,8.8,60,Formado,26
15080,123664.0,0.8136,10,18/03/15,EL63B,2016,1,8.0,75,Formado,27
15082,123664.0,0.8136,10,18/03/15,IF63C,2016,1,8.6,45,Formado,28
15089,123664.0,0.8136,10,18/03/15,ES70L,2016,1,9.0,30,Formado,29
15094,123664.0,0.8136,10,18/03/15,MA70G,2016,1,9.6,60,Formado,30
15096,123664.0,0.8136,10,18/03/15,ES60A,2016,1,9.0,30,Formado,31
15102,123664.0,0.8136,10,18/03/15,IF63O,2016,1,7.3,45,Formado,32
15111,123664.0,0.8136,10,18/03/15,MA70H,2016,1,7.7,60,Formado,33
15112,123664.0,0.8136,10,18/03/15,MA73A,2016,1,6.7,60,Formado,34
15076,123664.0,0.8136,10,18/03/15,FI64C,2016,2,10.0,60,Formado,35
15077,123664.0,0.8136,10,18/03/15,IF64C,2016,2,7.5,45,Formado,36
15078,123664.0,0.8136,10,18/03/15,EL65G,2016,2,7.8,60,Formado,37
15095,123664.0,0.8136,10,18/03/15,ES60F,2016,2,8.8,30,Formado,38
15100,123664.0,0.8136,10,18/03/15,EL65A,2016,2,7.9,90,Formado,39
15101,123664.0,0.8136,10,18/03/15,IF64J,2016,2,6.7,45,Formado,40
15103,123664.0,0.8136,10,18/03/15,EL64O,2016,2,9.3,75,Formado,41
15125,123664.0,0.8136,10,18/03/15,ES70N,2016,2,8.8,30,Formado,42
