,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO,RowNumber
13572,118844.0,0.6616,10,19/08/15,IF61C,2015,2,8.5,90,Formado,1
13574,118844.0,0.6616,10,19/08/15,MA61B,2015,2,9.6,90,Formado,2
13577,118844.0,0.6616,10,19/08/15,MA61A,2015,2,7.6,90,Formado,3
13587,118844.0,0.6616,10,19/08/15,IF61B,2015,2,7.8,60,Formado,4
13596,118844.0,0.6616,10,19/08/15,ES61A,2015,2,8.2,30,Formado,5
13605,118844.0,0.6616,10,19/08/15,ES70R,2015,2,8.2,30,Formado,6
13613,118844.0,0.6616,10,19/08/15,FI71M,2015,2,4.3,60,Formado,7
13617,118844.0,0.6616,10,19/08/15,MA71A,2015,2,7.6,90,Formado,8
13619,118844.0,0.6616,10,19/08/15,MA71B,2015,2,9.6,90,Formado,9
13570,118844.0,0.6616,10,19/08/15,FI63A,2016,1,7.1,75,Formado,10
13573,118844.0,0.6616,10,19/08/15,FI62A,2016,1,6.4,75,Formado,11
13580,118844.0,0.6616,10,19/08/15,MA62A,2016,1,6.0,60,Formado,12
13586,118844.0,0.6616,10,19/08/15,IF62C,2016,1,8.9,60,Formado,13
13595,118844.0,0.6616,10,19/08/15,QB62A,2016,1,7.7,90,Formado,14
13597,118844.0,0.6616,10,19/08/15,IF62J,2016,1,8.0,45,Formado,15
13600,118844.0,0.6616,10,19/08/15,QB70D,2016,1,7.7,90,Formado,16
13606,118844.0,0.6616,10,19/08/15,FI72N,2016,1,7.1,30,Formado,17
13608,118844.0,0.6616,10,19/08/15,EL62O,2016,1,9.5,45,Formado,18
13616,118844.0,0.6616,10,19/08/15,FI73A,2016,1,7.1,75,Formado,19
13618,118844.0,0.6616,10,19/08/15,FI72M,2016,1,6.0,60,Formado,20
13620,118844.0,0.6616,10,19/08/15,MA72A,2016,1,6.0,60,Formado,21
13575,118844.0,0.6616,10,19/08/15,FI61A,2016,2,8.4,75,Formado,22
13576,118844.0,0.6616,10,19/08/15,MA63B,2016,2,6.0,60,Formado,23
13578,118844.0,0.6616,10,19/08/15,MA63A,2016,2,6.0,60,Formado,24
13579,118844.0,0.6616,10,19/08/15,MA65A,2016,2,6.2,60,Formado,25
13582,118844.0,0.6616,10,19/08/15,MA70G,2016,2,6.0,60,Formado,26
13583,118844.0,0.6616,10,19/08/15,ES60A,2016,2,9.0,30,Formado,27
13591,118844.0,0.6616,10,19/08/15,IF63E,2016,2,7.3,60,Formado,28
13592,118844.0,0.6616,10,19/08/15,EL63B,2016,2,2.4,75,Formado,29
13593,118844.0,0.6616,10,19/08/15,IF63C,2016,2,8.0,45,Formado,30
13602,118844.0,0.6616,10,19/08/15,IF63O,2016,2,6.2,45,Formado,31
13609,118844.0,0.6616,10,19/08/15,ES70L,2016,2,9.0,30,Formado,32
13612,118844.0,0.6616,10,19/08/15,FI71M,2016,2,8.4,60,Formado,33
13614,118844.0,0.6616,10,19/08/15,MA70H,2016,2,6.2,60,Formado,34
13615,118844.0,0.6616,10,19/08/15,MA73A,2016,2,6.0,60,Formado,35
13601,118844.0,0.6616,10,19/08/15,FI74M,2017,1,6.0,60,Formado,36
13604,118844.0,0.6616,10,19/08/15,ES70P,2017,1,9.0,45,Formado,37
13610,118844.0,0.6616,10,19/08/15,QB70C,2017,1,7.7,75,Formado,38
13621,118844.0,0.6616,10,19/08/15,FI73S,2017,1,7.1,60,Formado,39
13629,118844.0,0.6616,10,19/08/15,CSH30,2017,1,6.2,45,Formado,40
13636,118844.0,0.6616,10,19/08/15,EEB21,2017,1,7.4,45,Formado,41
13641,118844.0,0.6616,10,19/08/15,FI72S,2017,1,6.4,60,Formado,42
13646,118844.0,0.6616,10,19/08/15,CSE20,2017,1,8.9,60,Formado,43
13648,118844.0,0.6616,10,19/08/15,CSF20,2017,1,8.0,45,Formado,44
13649,118844.0,0.6616,10,19/08/15,CSD20,2017,1,7.8,45,Formado,45
13651,118844.0,0.6616,10,19/08/15,CSF13,2017,1,8.5,90,Formado,46
13652,118844.0,0.6616,10,19/08/15,CSD21,2017,1,7.3,45,Formado,47
13653,118844.0,0.6616,10,19/08/15,CSF30,2017,1,8.0,45,Formado,48
13656,118844.0,0.6616,10,19/08/15,CSA30,2017,1,6.4,45,Formado,49
13657,118844.0,0.6616,10,19/08/15,EEX21,2017,1,8.0,45,Formado,50
13662,118844.0,0.6616,10,19/08/15,FI74N,2017,1,7.1,30,Formado,51
13665,118844.0,0.6616,10,19/08/15,EEX22,2017,1,6.7,45,Formado,52
13670,118844.0,0.6616,10,19/08/15,FI74S,2017,1,6.0,60,Formado,53
13672,118844.0,0.6616,10,19/08/15,EEQ31,2017,1,8.5,75,Formado,54
13678,118844.0,0.6616,10,19/08/15,EEF11,2017,1,9.5,30,Formado,55
13690,118844.0,0.6616,10,19/08/15,FI71S,2017,1,8.4,60,Formado,56
13611,118844.0,0.6616,10,19/08/15,ES70G,2017,2,8.6,45,Formado,57
13623,118844.0,0.6616,10,19/08/15,EEF21,2017,2,5.5,30,Formado,58
13626,118844.0,0.6616,10,19/08/15,EEB31,2017,2,6.0,90,Formado,59
13628,118844.0,0.6616,10,19/08/15,CSG20,2017,2,8.5,45,Formado,60
13640,118844.0,0.6616,10,19/08/15,EEB22,2017,2,4.0,45,Formado,61
13661,118844.0,0.6616,10,19/08/15,EEQ32,2017,2,0.0,45,Formado,62
13675,118844.0,0.6616,10,19/08/15,EEX11,2017,2,6.7,45,Formado,63
13684,118844.0,0.6616,10,19/08/15,CSI30,2017,2,2.2,45,Formado,64
13694,118844.0,0.6616,10,19/08/15,CSR31,2017,2,7.0,30,Formado,65
13589,118844.0,0.6616,10,19/08/15,EL64F,2018,1,7.6,75,Formado,66
13622,118844.0,0.6616,10,19/08/15,EEF21,2018,1,8.6,30,Formado,67
13632,118844.0,0.6616,10,19/08/15,CSA31,2018,1,1.7,45,Formado,68
13639,118844.0,0.6616,10,19/08/15,EEB22,2018,1,7.6,45,Formado,69
13650,118844.0,0.6616,10,19/08/15,CSE30,2018,1,8.8,60,Formado,70
13655,118844.0,0.6616,10,19/08/15,CSB30,2018,1,3.0,60,Formado,71
13669,118844.0,0.6616,10,19/08/15,CSW30,2018,1,1.3,60,Formado,72
13581,118844.0,0.6616,10,19/08/15,GE70D,2018,2,8.5,30,Formado,73
13631,118844.0,0.6616,10,19/08/15,CSA31,2018,2,5.0,45,Formado,74
13654,118844.0,0.6616,10,19/08/15,CSB30,2018,2,7.9,60,Formado,75
13666,118844.0,0.6616,10,19/08/15,EEE31,2018,2,7.9,60,Formado,76
13668,118844.0,0.6616,10,19/08/15,CSW30,2018,2,5.3,60,Formado,77
13588,118844.0,0.6616,10,19/08/15,EL66C,2019,1,8.6,60,Formado,78
13598,118844.0,0.6616,10,19/08/15,CSO30,2019,1,9.1,60,Formado,79
13660,118844.0,0.6616,10,19/08/15,EEQ32,2019,1,7.1,45,Formado,80
13667,118844.0,0.6616,10,19/08/15,CSW30,2019,1,8.6,60,Formado,81
13673,118844.0,0.6616,10,19/08/15,CSW40,2019,1,9.2,60,Formado,82
13683,118844.0,0.6616,10,19/08/15,CSI30,2019,1,7.3,45,Formado,83
13692,118844.0,0.6616,10,19/08/15,EEE32,2019,1,1.0,60,Formado,84
13584,118844.0,0.6616,10,19/08/15,IF69D,2019,2,6.9,60,Formado,85
13590,118844.0,0.6616,10,19/08/15,EL68E,2019,2,8.3,60,Formado,86
13603,118844.0,0.6616,10,19/08/15,GE70H,2019,2,9.0,30,Formado,87
13607,118844.0,0.6616,10,19/08/15,QB70E,2019,2,9.0,30,Formado,88
13627,118844.0,0.6616,10,19/08/15,CSV30,2019,2,6.9,60,Formado,89
13630,118844.0,0.6616,10,19/08/15,CSA31,2019,2,7.4,45,Formado,90
13644,118844.0,0.6616,10,19/08/15,CSR30,2019,2,7.8,45,Formado,91
13674,118844.0,0.6616,10,19/08/15,CSW41,2019,2,8.3,60,Formado,92
13688,118844.0,0.6616,10,19/08/15,CSX54,2019,2,9.9,400,Formado,93
13691,118844.0,0.6616,10,19/08/15,EEE32,2019,2,6.5,60,Formado,94
13625,118844.0,0.6616,10,19/08/15,EEF31,2020,1,9.0,30,Formado,95
13635,118844.0,0.6616,10,19/08/15,CSW42,2020,1,-1.0,60,Formado,96
13645,118844.0,0.6616,10,19/08/15,CSS30,2020,1,8.0,60,Formado,97
13659,118844.0,0.6616,10,19/08/15,EEC21,2020,1,-1.0,60,Formado,98
13687,118844.0,0.6616,10,19/08/15,CSH42,2020,1,0.0,45,Formado,99
13585,118844.0,0.6616,10,19/08/15,EL68A,2020,2,3.0,60,Formado,100
13671,118844.0,0.6616,10,19/08/15,ELF62,2020,2,3.3,60,Formado,101
13685,118844.0,0.6616,10,19/08/15,EEX23,2020,2,9.4,45,Formado,102
13599,118844.0,0.6616,10,19/08/15,GE73E,2021,1,7.5,30,Formado,103
13642,118844.0,0.6616,10,19/08/15,EL76A,2021,1,6.0,60,Formado,104
13658,118844.0,0.6616,10,19/08/15,EEC21,2021,1,6.0,60,Formado,105
13682,118844.0,0.6616,10,19/08/15,CSX42,2021,1,1.6,30,Formado,106
13693,118844.0,0.6616,10,19/08/15,CSM40,2021,1,8.3,60,Formado,107
13634,118844.0,0.6616,10,19/08/15,CSW42,2021,2,0.0,60,Formado,108
13638,118844.0,0.6616,10,19/08/15,EEC31,2021,2,0.0,30,Formado,109
13664,118844.0,0.6616,10,19/08/15,CSM41,2021,2,0.0,60,Formado,110
13681,118844.0,0.6616,10,19/08/15,CSX42,2021,2,0.0,30,Formado,111
13633,118844.0,0.6616,10,19/08/15,CSW42,2022,1,6.0,60,Formado,112
13637,118844.0,0.6616,10,19/08/15,EEC31,2022,1,6.8,30,Formado,113
13643,118844.0,0.6616,10,19/08/15,EL77A,2022,1,6.8,60,Formado,114
13647,118844.0,0.6616,10,19/08/15,GE70T,2022,1,8.1,30,Formado,115
13663,118844.0,0.6616,10,19/08/15,CSM41,2022,1,10.0,60,Formado,116
13680,118844.0,0.6616,10,19/08/15,CSX42,2022,1,1.8,30,Formado,117
13686,118844.0,0.6616,10,19/08/15,CSH42,2022,1,7.2,45,Formado,118
