,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO,RowNumber
27639,179385.0,0.6687,10,29/02/16,ES61A,2016,1,10.0,30,Formado,1
27641,179385.0,0.6687,10,29/02/16,MA61B,2016,1,6.7,90,Formado,2
27642,179385.0,0.6687,10,29/02/16,IF61C,2016,1,4.2,90,Formado,3
27643,179385.0,0.6687,10,29/02/16,MA61A,2016,1,7.3,90,Formado,4
27644,179385.0,0.6687,10,29/02/16,ES70R,2016,1,10.0,30,Formado,5
27652,179385.0,0.6687,10,29/02/16,FI71M,2016,1,4.0,60,Formado,6
27654,179385.0,0.6687,10,29/02/16,MA71A,2016,1,7.3,90,Formado,7
27665,179385.0,0.6687,10,29/02/16,MA71B,2016,1,6.7,90,Formado,8
27667,179385.0,0.6687,10,29/02/16,IF61B,2016,1,9.5,60,Formado,9
27635,179385.0,0.6687,10,29/02/16,IF62C,2016,2,8.0,60,Formado,10
27636,179385.0,0.6687,10,29/02/16,QB62A,2016,2,7.0,90,Formado,11
27638,179385.0,0.6687,10,29/02/16,IF62J,2016,2,8.9,45,Formado,12
27645,179385.0,0.6687,10,29/02/16,EL62O,2016,2,10.0,45,Formado,13
27656,179385.0,0.6687,10,29/02/16,FI72M,2016,2,1.8,60,Formado,14
27660,179385.0,0.6687,10,29/02/16,FI73A,2016,2,0.0,75,Formado,15
27663,179385.0,0.6687,10,29/02/16,MA72A,2016,2,5.0,60,Formado,16
27687,179385.0,0.6687,10,29/02/16,QB70D,2016,2,7.0,90,Formado,17
27621,179385.0,0.6687,10,29/02/16,EEF11,2017,1,10.0,30,Formado,18
27622,179385.0,0.6687,10,29/02/16,EEX21,2017,1,8.9,45,Formado,19
27646,179385.0,0.6687,10,29/02/16,FI72N,2017,1,7.2,30,Formado,20
27653,179385.0,0.6687,10,29/02/16,QB70C,2017,1,7.0,75,Formado,21
27661,179385.0,0.6687,10,29/02/16,MA70G,2017,1,7.3,60,Formado,22
27662,179385.0,0.6687,10,29/02/16,MA72A,2017,1,6.0,60,Formado,23
27668,179385.0,0.6687,10,29/02/16,CSD20,2017,1,9.5,45,Formado,24
27671,179385.0,0.6687,10,29/02/16,CSE20,2017,1,8.0,60,Formado,25
27672,179385.0,0.6687,10,29/02/16,CSF20,2017,1,8.3,45,Formado,26
27680,179385.0,0.6687,10,29/02/16,CSD21,2017,1,7.3,45,Formado,27
27685,179385.0,0.6687,10,29/02/16,CSF13,2017,1,8.4,90,Formado,28
27601,179385.0,0.6687,10,29/02/16,FI72S,2017,2,7.1,60,Formado,29
27610,179385.0,0.6687,10,29/02/16,CSG20,2017,2,0.0,45,Formado,30
27624,179385.0,0.6687,10,29/02/16,EEX11,2017,2,6.4,45,Formado,31
27633,179385.0,0.6687,10,29/02/16,FI71S,2017,2,8.2,60,Formado,32
27651,179385.0,0.6687,10,29/02/16,FI71M,2017,2,8.2,60,Formado,33
27655,179385.0,0.6687,10,29/02/16,FI72M,2017,2,7.1,60,Formado,34
27657,179385.0,0.6687,10,29/02/16,MA70H,2017,2,7.4,60,Formado,35
27659,179385.0,0.6687,10,29/02/16,MA73A,2017,2,2.4,60,Formado,36
27598,179385.0,0.6687,10,29/02/16,EEF21,2018,1,9.6,30,Formado,37
27602,179385.0,0.6687,10,29/02/16,FI73S,2018,1,7.2,60,Formado,38
27658,179385.0,0.6687,10,29/02/16,MA73A,2018,1,6.8,60,Formado,39
27682,179385.0,0.6687,10,29/02/16,CSF30,2018,1,0.1,45,Formado,40
27686,179385.0,0.6687,10,29/02/16,FI73M,2018,1,7.2,60,Formado,41
27609,179385.0,0.6687,10,29/02/16,EEB21,2018,2,6.8,45,Formado,42
27613,179385.0,0.6687,10,29/02/16,FI74S,2018,2,10.0,60,Formado,43
27620,179385.0,0.6687,10,29/02/16,FI74N,2018,2,7.4,30,Formado,44
27631,179385.0,0.6687,10,29/02/16,EEQ31,2018,2,8.1,75,Formado,45
27650,179385.0,0.6687,10,29/02/16,ES70G,2018,2,10.0,45,Formado,46
27670,179385.0,0.6687,10,29/02/16,CSG20,2018,2,8.0,45,Formado,47
27681,179385.0,0.6687,10,29/02/16,CSF30,2018,2,8.6,45,Formado,48
27688,179385.0,0.6687,10,29/02/16,FI74M,2018,2,10.0,60,Formado,49
27596,179385.0,0.6687,10,29/02/16,EEB31,2019,1,0.0,90,Formado,50
27607,179385.0,0.6687,10,29/02/16,EEB22,2019,1,2.0,45,Formado,51
27618,179385.0,0.6687,10,29/02/16,EEQ32,2019,1,1.8,45,Formado,52
27630,179385.0,0.6687,10,29/02/16,CSR31,2019,1,1.9,30,Formado,53
27678,179385.0,0.6687,10,29/02/16,CSA30,2019,1,0.8,45,Formado,54
27690,179385.0,0.6687,10,29/02/16,ES70P,2019,1,6.8,45,Formado,55
27697,179385.0,0.6687,10,29/02/16,CSI30,2019,1,0.4,45,Formado,56
27606,179385.0,0.6687,10,29/02/16,EEB22,2019,2,3.0,45,Formado,57
27617,179385.0,0.6687,10,29/02/16,EEQ32,2019,2,7.1,45,Formado,58
27629,179385.0,0.6687,10,29/02/16,CSR31,2019,2,6.1,30,Formado,59
27669,179385.0,0.6687,10,29/02/16,CSE30,2019,2,8.1,60,Formado,60
27684,179385.0,0.6687,10,29/02/16,CSB30,2019,2,1.8,60,Formado,61
27698,179385.0,0.6687,10,29/02/16,EEB31,2019,2,6.0,90,Formado,62
27605,179385.0,0.6687,10,29/02/16,EEB22,2020,1,-1.0,45,Formado,63
27612,179385.0,0.6687,10,29/02/16,CSW30,2020,1,9.5,60,Formado,64
27677,179385.0,0.6687,10,29/02/16,CSA30,2020,1,-1.0,45,Formado,65
27683,179385.0,0.6687,10,29/02/16,CSB30,2020,1,8.2,60,Formado,66
27696,179385.0,0.6687,10,29/02/16,CSI30,2020,1,-1.0,45,Formado,67
27604,179385.0,0.6687,10,29/02/16,EEB22,2020,2,8.1,45,Formado,68
27647,179385.0,0.6687,10,29/02/16,MA70C,2020,2,9.8,60,Formado,69
27664,179385.0,0.6687,10,29/02/16,GE70D,2020,2,8.5,30,Formado,70
27673,179385.0,0.6687,10,29/02/16,EL73F,2020,2,8.1,75,Formado,71
27676,179385.0,0.6687,10,29/02/16,CSA30,2020,2,8.0,45,Formado,72
27679,179385.0,0.6687,10,29/02/16,CSO30,2020,2,6.2,60,Formado,73
27695,179385.0,0.6687,10,29/02/16,CSI30,2020,2,9.4,45,Formado,74
27611,179385.0,0.6687,10,29/02/16,CSA31,2021,1,7.3,45,Formado,75
27615,179385.0,0.6687,10,29/02/16,EEX22,2021,1,9.4,45,Formado,76
27616,179385.0,0.6687,10,29/02/16,EEE31,2021,1,6.3,60,Formado,77
27632,179385.0,0.6687,10,29/02/16,CSM43,2021,1,7.0,60,Formado,78
27674,179385.0,0.6687,10,29/02/16,CSR30,2021,1,7.6,45,Formado,79
27689,179385.0,0.6687,10,29/02/16,GE70H,2021,1,6.6,30,Formado,80
