,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO,RowNumber
25955,171746.0,0.716,10,18/03/15,IF61C,2015,1,7.4,90,Formado,1
25956,171746.0,0.716,10,18/03/15,MA61A,2015,1,6.1,90,Formado,2
25957,171746.0,0.716,10,18/03/15,FI61A,2015,1,6.0,75,Formado,3
25966,171746.0,0.716,10,18/03/15,ES61A,2015,1,6.0,30,Formado,4
25970,171746.0,0.716,10,18/03/15,MA61B,2015,1,6.5,90,Formado,5
25982,171746.0,0.716,10,18/03/15,IF61B,2015,1,6.0,60,Formado,6
25987,171746.0,0.716,10,18/03/15,MA71A,2015,1,6.1,90,Formado,7
25994,171746.0,0.716,10,18/03/15,MA71B,2015,1,6.5,90,Formado,8
25996,171746.0,0.716,10,18/03/15,ES70R,2015,1,6.0,30,Formado,9
26000,171746.0,0.716,10,18/03/15,FI71M,2015,1,6.0,60,Formado,10
25960,171746.0,0.716,10,18/03/15,MA62A,2015,2,6.0,60,Formado,11
25964,171746.0,0.716,10,18/03/15,IF62J,2015,2,9.0,45,Formado,12
25977,171746.0,0.716,10,18/03/15,QB62A,2015,2,6.4,90,Formado,13
25978,171746.0,0.716,10,18/03/15,MA72A,2015,2,6.0,60,Formado,14
25979,171746.0,0.716,10,18/03/15,IF62C,2015,2,6.7,60,Formado,15
25986,171746.0,0.716,10,18/03/15,FI73A,2015,2,4.5,75,Formado,16
25997,171746.0,0.716,10,18/03/15,EL62O,2015,2,10.0,45,Formado,17
25998,171746.0,0.716,10,18/03/15,FI72N,2015,2,7.9,30,Formado,18
26001,171746.0,0.716,10,18/03/15,FI72M,2015,2,4.0,60,Formado,19
26006,171746.0,0.716,10,18/03/15,QB70D,2015,2,6.4,90,Formado,20
25958,171746.0,0.716,10,18/03/15,MA63B,2016,1,8.1,60,Formado,21
25961,171746.0,0.716,10,18/03/15,MA63A,2016,1,6.0,60,Formado,22
25962,171746.0,0.716,10,18/03/15,MA65A,2016,1,6.8,60,Formado,23
25969,171746.0,0.716,10,18/03/15,FI63A,2016,1,6.0,75,Formado,24
25973,171746.0,0.716,10,18/03/15,IF63C,2016,1,6.5,45,Formado,25
25974,171746.0,0.716,10,18/03/15,IF63E,2016,1,7.2,60,Formado,26
25975,171746.0,0.716,10,18/03/15,EL63B,2016,1,6.0,75,Formado,27
25980,171746.0,0.716,10,18/03/15,ES60A,2016,1,9.5,30,Formado,28
25985,171746.0,0.716,10,18/03/15,FI73A,2016,1,6.0,75,Formado,29
25989,171746.0,0.716,10,18/03/15,MA70H,2016,1,6.8,60,Formado,30
25990,171746.0,0.716,10,18/03/15,MA73A,2016,1,6.0,60,Formado,31
25993,171746.0,0.716,10,18/03/15,MA70G,2016,1,8.1,60,Formado,32
26002,171746.0,0.716,10,18/03/15,ES70L,2016,1,9.5,30,Formado,33
25971,171746.0,0.716,10,18/03/15,EL65A,2016,2,7.5,90,Formado,34
25972,171746.0,0.716,10,18/03/15,IF64J,2016,2,8.3,45,Formado,35
25976,171746.0,0.716,10,18/03/15,FI64C,2016,2,10.0,60,Formado,36
25981,171746.0,0.716,10,18/03/15,ES60F,2016,2,9.6,30,Formado,37
25983,171746.0,0.716,10,18/03/15,IF64C,2016,2,6.5,45,Formado,38
25984,171746.0,0.716,10,18/03/15,EL65G,2016,2,7.2,60,Formado,39
26008,171746.0,0.716,10,18/03/15,EL64O,2016,2,8.8,75,Formado,40
26018,171746.0,0.716,10,18/03/15,ES70N,2016,2,9.6,30,Formado,41
25905,171746.0,0.716,10,18/03/15,CSG20,2017,1,8.9,45,Formado,42
25907,171746.0,0.716,10,18/03/15,CSD20,2017,1,6.0,45,Formado,43
25910,171746.0,0.716,10,18/03/15,CSE20,2017,1,6.7,60,Formado,44
25911,171746.0,0.716,10,18/03/15,CSF20,2017,1,6.5,45,Formado,45
25912,171746.0,0.716,10,18/03/15,EEF21,2017,1,6.0,30,Formado,46
25914,171746.0,0.716,10,18/03/15,EEB22,2017,1,6.0,45,Formado,47
25915,171746.0,0.716,10,18/03/15,FI72S,2017,1,7.0,60,Formado,48
25916,171746.0,0.716,10,18/03/15,EEB21,2017,1,6.0,45,Formado,49
25928,171746.0,0.716,10,18/03/15,EEB31,2017,1,7.5,90,Formado,50
25929,171746.0,0.716,10,18/03/15,FI73S,2017,1,6.0,60,Formado,51
25930,171746.0,0.716,10,18/03/15,EEQ31,2017,1,7.2,75,Formado,52
25934,171746.0,0.716,10,18/03/15,CSR31,2017,1,7.5,30,Formado,53
25935,171746.0,0.716,10,18/03/15,FI71S,2017,1,6.0,60,Formado,54
25937,171746.0,0.716,10,18/03/15,EEF11,2017,1,10.0,30,Formado,55
25938,171746.0,0.716,10,18/03/15,EEX21,2017,1,9.0,45,Formado,56
25945,171746.0,0.716,10,18/03/15,EEX11,2017,1,8.3,45,Formado,57
25948,171746.0,0.716,10,18/03/15,EEE31,2017,1,8.8,60,Formado,58
25949,171746.0,0.716,10,18/03/15,CSW30,2017,1,7.5,60,Formado,59
25950,171746.0,0.716,10,18/03/15,FI74S,2017,1,6.9,60,Formado,60
25951,171746.0,0.716,10,18/03/15,FI74N,2017,1,6.0,30,Formado,61
25952,171746.0,0.716,10,18/03/15,EEX22,2017,1,8.3,45,Formado,62
25988,171746.0,0.716,10,18/03/15,FI72M,2017,1,7.0,60,Formado,63
25992,171746.0,0.716,10,18/03/15,FI70A,2017,1,10.0,60,Formado,64
25995,171746.0,0.716,10,18/03/15,ES70P,2017,1,9.5,45,Formado,65
25999,171746.0,0.716,10,18/03/15,ES70G,2017,1,8.7,45,Formado,66
26003,171746.0,0.716,10,18/03/15,QB70C,2017,1,6.4,75,Formado,67
26004,171746.0,0.716,10,18/03/15,CSF13,2017,1,7.4,90,Formado,68
26007,171746.0,0.716,10,18/03/15,FI74M,2017,1,6.9,60,Formado,69
26014,171746.0,0.716,10,18/03/15,CSB30,2017,1,8.8,60,Formado,70
26015,171746.0,0.716,10,18/03/15,CSA30,2017,1,6.5,45,Formado,71
26016,171746.0,0.716,10,18/03/15,CSD21,2017,1,7.2,45,Formado,72
26017,171746.0,0.716,10,18/03/15,CSF30,2017,1,6.5,45,Formado,73
25908,171746.0,0.716,10,18/03/15,CSE30,2017,2,7.2,60,Formado,74
25918,171746.0,0.716,10,18/03/15,CSA31,2017,2,4.4,45,Formado,75
25931,171746.0,0.716,10,18/03/15,CSW40,2017,2,6.4,60,Formado,76
25933,171746.0,0.716,10,18/03/15,EEE32,2017,2,6.6,60,Formado,77
25991,171746.0,0.716,10,18/03/15,GE70D,2017,2,7.7,30,Formado,78
26011,171746.0,0.716,10,18/03/15,CSO30,2017,2,6.5,60,Formado,79
25920,171746.0,0.716,10,18/03/15,CSW42,2018,1,9.0,60,Formado,80
25932,171746.0,0.716,10,18/03/15,CSW41,2018,1,7.5,60,Formado,81
25953,171746.0,0.716,10,18/03/15,EEC21,2018,1,7.3,60,Formado,82
25965,171746.0,0.716,10,18/03/15,IF66B,2018,1,7.3,60,Formado,83
26005,171746.0,0.716,10,18/03/15,GE70H,2018,1,9.1,30,Formado,84
26009,171746.0,0.716,10,18/03/15,GE70F,2018,1,7.9,30,Formado,85
26010,171746.0,0.716,10,18/03/15,QB70E,2018,1,7.0,30,Formado,86
26013,171746.0,0.716,10,18/03/15,CSR30,2018,1,7.3,45,Formado,87
25906,171746.0,0.716,10,18/03/15,CSA31,2018,2,6.4,45,Formado,88
25909,171746.0,0.716,10,18/03/15,CSS30,2018,2,6.2,60,Formado,89
25921,171746.0,0.716,10,18/03/15,CSI30,2018,2,6.8,45,Formado,90
25922,171746.0,0.716,10,18/03/15,EEX23,2018,2,8.4,45,Formado,91
25926,171746.0,0.716,10,18/03/15,EEF31,2018,2,7.3,30,Formado,92
25959,171746.0,0.716,10,18/03/15,FI51C,2018,2,7.8,32,Formado,93
25917,171746.0,0.716,10,18/03/15,EEC31,2019,1,6.0,30,Formado,94
25919,171746.0,0.716,10,18/03/15,CSB41,2019,1,8.3,60,Formado,95
25924,171746.0,0.716,10,18/03/15,CSV30,2019,1,6.2,60,Formado,96
25925,171746.0,0.716,10,18/03/15,CSX42,2019,1,10.0,30,Formado,97
25936,171746.0,0.716,10,18/03/15,CSX54,2019,1,9.4,400,Formado,98
25947,171746.0,0.716,10,18/03/15,FI54O,2019,1,10.0,33,Formado,99
25954,171746.0,0.716,10,18/03/15,EEQ32,2019,1,6.3,45,Formado,100
26012,171746.0,0.716,10,18/03/15,EL77A,2019,1,6.0,60,Formado,101
25923,171746.0,0.716,10,18/03/15,CSV45,2019,2,10.0,60,Formado,102
25927,171746.0,0.716,10,18/03/15,CSB51,2019,2,9.1,45,Formado,103
