,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO,RowNumber
27375,172974.0,0.772,10,18/03/15,ES70R,2015,1,6.0,30,Formado,1
27379,172974.0,0.772,10,18/03/15,FI71M,2015,1,6.0,60,Formado,2
27386,172974.0,0.772,10,18/03/15,MA71A,2015,1,6.8,90,Formado,3
27398,172974.0,0.772,10,18/03/15,MA71B,2015,1,6.7,90,Formado,4
27399,172974.0,0.772,10,18/03/15,IF61B,2015,1,6.8,60,Formado,5
27410,172974.0,0.772,10,18/03/15,ES61A,2015,1,6.0,30,Formado,6
27414,172974.0,0.772,10,18/03/15,MA61B,2015,1,6.7,90,Formado,7
27417,172974.0,0.772,10,18/03/15,IF61C,2015,1,8.3,90,Formado,8
27418,172974.0,0.772,10,18/03/15,MA61A,2015,1,6.8,90,Formado,9
27419,172974.0,0.772,10,18/03/15,FI61A,2015,1,6.0,75,Formado,10
27376,172974.0,0.772,10,18/03/15,EL62O,2015,2,10.0,45,Formado,11
27377,172974.0,0.772,10,18/03/15,FI72N,2015,2,8.1,30,Formado,12
27381,172974.0,0.772,10,18/03/15,FI72M,2015,2,4.3,60,Formado,13
27385,172974.0,0.772,10,18/03/15,FI73A,2015,2,4.2,75,Formado,14
27394,172974.0,0.772,10,18/03/15,MA72A,2015,2,5.5,60,Formado,15
27395,172974.0,0.772,10,18/03/15,IF62C,2015,2,9.0,60,Formado,16
27406,172974.0,0.772,10,18/03/15,QB62A,2015,2,6.2,90,Formado,17
27409,172974.0,0.772,10,18/03/15,IF62J,2015,2,6.0,45,Formado,18
27486,172974.0,0.772,10,18/03/15,QB70D,2015,2,6.2,90,Formado,19
27368,172974.0,0.772,10,18/03/15,IF63O,2016,1,7.9,45,Formado,20
27382,172974.0,0.772,10,18/03/15,ES70L,2016,1,8.7,30,Formado,21
27384,172974.0,0.772,10,18/03/15,FI73A,2016,1,8.4,75,Formado,22
27392,172974.0,0.772,10,18/03/15,MA70G,2016,1,6.0,60,Formado,23
27393,172974.0,0.772,10,18/03/15,MA72A,2016,1,8.6,60,Formado,24
27396,172974.0,0.772,10,18/03/15,ES60A,2016,1,8.7,30,Formado,25
27402,172974.0,0.772,10,18/03/15,IF63C,2016,1,8.4,45,Formado,26
27403,172974.0,0.772,10,18/03/15,IF63E,2016,1,6.0,60,Formado,27
27404,172974.0,0.772,10,18/03/15,EL63B,2016,1,7.3,75,Formado,28
27413,172974.0,0.772,10,18/03/15,FI63A,2016,1,8.4,75,Formado,29
27420,172974.0,0.772,10,18/03/15,MA63B,2016,1,6.0,60,Formado,30
27421,172974.0,0.772,10,18/03/15,MA62A,2016,1,8.6,60,Formado,31
27369,172974.0,0.772,10,18/03/15,EL64O,2016,2,9.1,75,Formado,32
27387,172974.0,0.772,10,18/03/15,FI72M,2016,2,8.7,60,Formado,33
27388,172974.0,0.772,10,18/03/15,MA70H,2016,2,9.7,60,Formado,34
27389,172974.0,0.772,10,18/03/15,MA73A,2016,2,6.9,60,Formado,35
27397,172974.0,0.772,10,18/03/15,ES60F,2016,2,9.1,30,Formado,36
27400,172974.0,0.772,10,18/03/15,IF64C,2016,2,7.5,45,Formado,37
27401,172974.0,0.772,10,18/03/15,IF64J,2016,2,7.4,45,Formado,38
27405,172974.0,0.772,10,18/03/15,FI64C,2016,2,9.1,60,Formado,39
27416,172974.0,0.772,10,18/03/15,FI62A,2016,2,8.5,75,Formado,40
27422,172974.0,0.772,10,18/03/15,MA63A,2016,2,6.9,60,Formado,41
27423,172974.0,0.772,10,18/03/15,MA65A,2016,2,9.7,60,Formado,42
27484,172974.0,0.772,10,18/03/15,ES70N,2016,2,9.1,30,Formado,43
