,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO,RowNumber
21856,150878.0,0.733,10,02/03/17,FI71M,2017,1,6.0,60,Formado,1
21860,150878.0,0.733,10,02/03/17,MA71A,2017,1,7.5,90,Formado,2
21867,150878.0,0.733,10,02/03/17,MA71B,2017,1,7.5,90,Formado,3
21878,150878.0,0.733,10,02/03/17,CSF13,2017,1,6.0,90,Formado,4
21903,150878.0,0.733,10,02/03/17,CSD20,2017,1,7.5,45,Formado,5
21910,150878.0,0.733,10,02/03/17,FI71S,2017,1,6.0,60,Formado,6
21847,150878.0,0.733,10,02/03/17,MA72A,2017,2,6.5,60,Formado,7
21854,150878.0,0.733,10,02/03/17,FI72N,2017,2,7.3,30,Formado,8
21857,150878.0,0.733,10,02/03/17,QB70C,2017,2,6.8,75,Formado,9
21862,150878.0,0.733,10,02/03/17,FI72M,2017,2,3.5,60,Formado,10
21874,150878.0,0.733,10,02/03/17,CSE20,2017,2,1.9,60,Formado,11
21902,150878.0,0.733,10,02/03/17,CSF20,2017,2,4.9,45,Formado,12
21906,150878.0,0.733,10,02/03/17,EEX11,2017,2,7.0,45,Formado,13
21853,150878.0,0.733,10,02/03/17,FI72N,2018,1,8.8,30,Formado,14
21861,150878.0,0.733,10,02/03/17,FI72M,2018,1,8.3,60,Formado,15
21864,150878.0,0.733,10,02/03/17,MA73A,2018,1,6.3,60,Formado,16
21866,150878.0,0.733,10,02/03/17,MA70G,2018,1,6.1,60,Formado,17
21873,150878.0,0.733,10,02/03/17,CSE20,2018,1,3.0,60,Formado,18
21891,150878.0,0.733,10,02/03/17,FI72S,2018,1,8.3,60,Formado,19
21901,150878.0,0.733,10,02/03/17,CSF20,2018,1,7.4,45,Formado,20
21932,150878.0,0.733,10,02/03/17,EEF11,2018,1,6.2,30,Formado,21
21933,150878.0,0.733,10,02/03/17,EEX21,2018,1,8.8,45,Formado,22
21863,150878.0,0.733,10,02/03/17,MA70H,2018,2,7.7,60,Formado,23
21872,150878.0,0.733,10,02/03/17,CSE20,2018,2,4.6,60,Formado,24
21880,150878.0,0.733,10,02/03/17,FI73M,2018,2,3.5,60,Formado,25
21881,150878.0,0.733,10,02/03/17,CSD21,2018,2,6.5,45,Formado,26
21882,150878.0,0.733,10,02/03/17,CSF30,2018,2,8.3,45,Formado,27
21894,150878.0,0.733,10,02/03/17,EEB21,2018,2,7.2,45,Formado,28
21859,150878.0,0.733,10,02/03/17,ES70G,2019,1,10.0,45,Formado,29
21876,150878.0,0.733,10,02/03/17,CSA30,2019,1,6.6,45,Formado,30
21879,150878.0,0.733,10,02/03/17,FI73M,2019,1,7.0,60,Formado,31
21887,150878.0,0.733,10,02/03/17,EEF21,2019,1,10.0,30,Formado,32
21892,150878.0,0.733,10,02/03/17,FI73S,2019,1,7.0,60,Formado,33
21909,150878.0,0.733,10,02/03/17,EEQ31,2019,1,5.8,75,Formado,34
21916,150878.0,0.733,10,02/03/17,EEB31,2019,1,7.7,90,Formado,35
21871,150878.0,0.733,10,02/03/17,CSE20,2019,2,7.0,60,Formado,36
21875,150878.0,0.733,10,02/03/17,CSB30,2019,2,6.8,60,Formado,37
21890,150878.0,0.733,10,02/03/17,EEB22,2019,2,6.5,45,Formado,38
21908,150878.0,0.733,10,02/03/17,EEQ31,2019,2,6.5,75,Formado,39
21924,150878.0,0.733,10,02/03/17,CSW30,2019,2,9.9,60,Formado,40
21929,150878.0,0.733,10,02/03/17,FI74N,2019,2,7.5,30,Formado,41
21865,150878.0,0.733,10,02/03/17,GE70D,2020,1,6.5,30,Formado,42
21877,150878.0,0.733,10,02/03/17,CSO30,2020,1,9.1,60,Formado,43
21884,150878.0,0.733,10,02/03/17,FI74M,2020,1,-1.0,60,Formado,44
21897,150878.0,0.733,10,02/03/17,CSG20,2020,1,-1.0,45,Formado,45
21899,150878.0,0.733,10,02/03/17,CSA31,2020,1,7.4,45,Formado,46
21907,150878.0,0.733,10,02/03/17,CSR31,2020,1,7.3,30,Formado,47
21923,150878.0,0.733,10,02/03/17,EEE31,2020,1,-1.0,60,Formado,48
21851,150878.0,0.733,10,02/03/17,GE70H,2020,2,8.5,30,Formado,49
21855,150878.0,0.733,10,02/03/17,QB70E,2020,2,9.4,30,Formado,50
21869,150878.0,0.733,10,02/03/17,CSR30,2020,2,8.1,45,Formado,51
21883,150878.0,0.733,10,02/03/17,FI74M,2020,2,6.5,60,Formado,52
21889,150878.0,0.733,10,02/03/17,EEF31,2020,2,8.0,30,Formado,53
21896,150878.0,0.733,10,02/03/17,CSG20,2020,2,10.0,45,Formado,54
21912,150878.0,0.733,10,02/03/17,CSI30,2020,2,9.5,45,Formado,55
21922,150878.0,0.733,10,02/03/17,EEE31,2020,2,9.5,60,Formado,56
21925,150878.0,0.733,10,02/03/17,FI74S,2020,2,6.5,60,Formado,57
21926,150878.0,0.733,10,02/03/17,EEQ32,2020,2,8.0,45,Formado,58
21931,150878.0,0.733,10,02/03/17,EEX22,2020,2,8.7,45,Formado,59
21848,150878.0,0.733,10,02/03/17,EL66E,2021,1,7.9,120,Formado,60
21852,150878.0,0.733,10,02/03/17,ES70P,2021,1,9.2,45,Formado,61
21885,150878.0,0.733,10,02/03/17,ES70J,2021,1,10.0,30,Formado,62
21886,150878.0,0.733,10,02/03/17,ES70N,2021,1,9.3,30,Formado,63
21911,150878.0,0.733,10,02/03/17,EEE32,2021,1,7.9,60,Formado,64
21913,150878.0,0.733,10,02/03/17,EEX23,2021,1,8.5,45,Formado,65
21938,150878.0,0.733,10,02/03/17,CSW40,2021,1,8.0,60,Formado,66
