,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO,RowNumber
27888,179408.0,0.7589,10,29/02/16,ES70R,2016,1,9.0,30,Formado,1
27893,179408.0,0.7589,10,29/02/16,FI71M,2016,1,4.0,60,Formado,2
27897,179408.0,0.7589,10,29/02/16,MA71A,2016,1,6.0,90,Formado,3
27907,179408.0,0.7589,10,29/02/16,MA71B,2016,1,9.7,90,Formado,4
27909,179408.0,0.7589,10,29/02/16,IF61B,2016,1,10.0,60,Formado,5
27913,179408.0,0.7589,10,29/02/16,ES61A,2016,1,9.0,30,Formado,6
27915,179408.0,0.7589,10,29/02/16,IF61C,2016,1,8.3,90,Formado,7
27916,179408.0,0.7589,10,29/02/16,MA61B,2016,1,9.7,90,Formado,8
27918,179408.0,0.7589,10,29/02/16,MA61A,2016,1,6.0,90,Formado,9
27889,179408.0,0.7589,10,29/02/16,FI72N,2016,2,6.4,30,Formado,10
27894,179408.0,0.7589,10,29/02/16,EL62O,2016,2,10.0,45,Formado,11
27899,179408.0,0.7589,10,29/02/16,FI72M,2016,2,1.2,60,Formado,12
27901,179408.0,0.7589,10,29/02/16,FI73A,2016,2,0.9,75,Formado,13
27904,179408.0,0.7589,10,29/02/16,MA72A,2016,2,6.1,60,Formado,14
27910,179408.0,0.7589,10,29/02/16,IF62C,2016,2,8.6,60,Formado,15
27912,179408.0,0.7589,10,29/02/16,IF62J,2016,2,9.0,45,Formado,16
27917,179408.0,0.7589,10,29/02/16,MA62A,2016,2,6.1,60,Formado,17
27980,179408.0,0.7589,10,29/02/16,QB70D,2016,2,5.1,90,Formado,18
27892,179408.0,0.7589,10,29/02/16,FI71M,2017,1,8.2,60,Formado,19
27895,179408.0,0.7589,10,29/02/16,QB70C,2017,1,7.0,75,Formado,20
27898,179408.0,0.7589,10,29/02/16,FI72M,2017,1,9.0,60,Formado,21
27902,179408.0,0.7589,10,29/02/16,MA70G,2017,1,7.5,60,Formado,22
27929,179408.0,0.7589,10,29/02/16,EEF11,2017,1,10.0,30,Formado,23
27930,179408.0,0.7589,10,29/02/16,EEX21,2017,1,9.0,45,Formado,24
27932,179408.0,0.7589,10,29/02/16,EEX11,2017,1,8.0,45,Formado,25
27939,179408.0,0.7589,10,29/02/16,FI71S,2017,1,8.2,60,Formado,26
27952,179408.0,0.7589,10,29/02/16,FI72S,2017,1,9.0,60,Formado,27
27963,179408.0,0.7589,10,29/02/16,CSF20,2017,1,7.2,45,Formado,28
27964,179408.0,0.7589,10,29/02/16,CSD20,2017,1,10.0,45,Formado,29
27966,179408.0,0.7589,10,29/02/16,CSE20,2017,1,8.6,60,Formado,30
27977,179408.0,0.7589,10,29/02/16,CSF13,2017,1,8.3,90,Formado,31
27900,179408.0,0.7589,10,29/02/16,MA73A,2017,2,6.7,60,Formado,32
27903,179408.0,0.7589,10,29/02/16,MA70H,2017,2,6.5,60,Formado,33
27953,179408.0,0.7589,10,29/02/16,FI73S,2017,2,6.9,60,Formado,34
27958,179408.0,0.7589,10,29/02/16,EEB21,2017,2,6.1,45,Formado,35
27972,179408.0,0.7589,10,29/02/16,CSF30,2017,2,8.2,45,Formado,36
27978,179408.0,0.7589,10,29/02/16,FI73M,2017,2,6.9,60,Formado,37
27979,179408.0,0.7589,10,29/02/16,CSD21,2017,2,9.8,45,Formado,38
27891,179408.0,0.7589,10,29/02/16,ES70G,2018,1,10.0,45,Formado,39
27928,179408.0,0.7589,10,29/02/16,FI74N,2018,1,6.2,30,Formado,40
27937,179408.0,0.7589,10,29/02/16,EEQ31,2018,1,8.5,75,Formado,41
27949,179408.0,0.7589,10,29/02/16,EEB31,2018,1,8.2,90,Formado,42
27956,179408.0,0.7589,10,29/02/16,EEB22,2018,1,2.9,45,Formado,43
27970,179408.0,0.7589,10,29/02/16,CSA30,2018,1,8.5,45,Formado,44
27921,179408.0,0.7589,10,29/02/16,CSW30,2018,2,8.3,60,Formado,45
27936,179408.0,0.7589,10,29/02/16,CSR31,2018,2,7.5,30,Formado,46
27950,179408.0,0.7589,10,29/02/16,EEF21,2018,2,9.2,30,Formado,47
27955,179408.0,0.7589,10,29/02/16,EEB22,2018,2,6.4,45,Formado,48
27959,179408.0,0.7589,10,29/02/16,CSG20,2018,2,9.3,45,Formado,49
27973,179408.0,0.7589,10,29/02/16,CSB30,2018,2,7.9,60,Formado,50
27887,179408.0,0.7589,10,29/02/16,ES70P,2019,1,7.1,45,Formado,51
27924,179408.0,0.7589,10,29/02/16,EEX22,2019,1,5.7,45,Formado,52
27926,179408.0,0.7589,10,29/02/16,EEE31,2019,1,5.3,60,Formado,53
27947,179408.0,0.7589,10,29/02/16,CSI30,2019,1,6.7,45,Formado,54
27965,179408.0,0.7589,10,29/02/16,CSE30,2019,1,9.6,60,Formado,55
27971,179408.0,0.7589,10,29/02/16,CSO30,2019,1,6.9,60,Formado,56
27982,179408.0,0.7589,10,29/02/16,FI74M,2019,1,5.1,60,Formado,57
27896,179408.0,0.7589,10,29/02/16,ES70B,2019,2,8.1,30,Formado,58
27922,179408.0,0.7589,10,29/02/16,FI74S,2019,2,8.9,60,Formado,59
27925,179408.0,0.7589,10,29/02/16,EEE31,2019,2,6.9,60,Formado,60
27927,179408.0,0.7589,10,29/02/16,EEQ32,2019,2,6.5,45,Formado,61
27945,179408.0,0.7589,10,29/02/16,CSV30,2019,2,10.0,60,Formado,62
27981,179408.0,0.7589,10,29/02/16,FI74M,2019,2,8.9,60,Formado,63
27890,179408.0,0.7589,10,29/02/16,QB70E,2020,1,9.5,30,Formado,64
27906,179408.0,0.7589,10,29/02/16,GE70D,2020,1,-1.0,30,Formado,65
27942,179408.0,0.7589,10,29/02/16,CSX54,2020,1,9.3,400,Formado,66
27960,179408.0,0.7589,10,29/02/16,CSH30,2020,1,9.7,45,Formado,67
27962,179408.0,0.7589,10,29/02/16,CSA31,2020,1,-1.0,45,Formado,68
27975,179408.0,0.7589,10,29/02/16,DI82F,2020,1,-1.0,75,Formado,69
