,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO,RowNumber
26927,172207.0,0.7575,10,18/03/15,ES70R,2015,1,7.3,30,Formado,1
26970,172207.0,0.7575,10,18/03/15,MA61B,2015,1,8.4,90,Formado,2
26972,172207.0,0.7575,10,18/03/15,MA61A,2015,1,9.1,90,Formado,3
26973,172207.0,0.7575,10,18/03/15,FI61A,2015,1,7.9,75,Formado,4
26986,172207.0,0.7575,10,18/03/15,IF61B,2015,1,6.0,60,Formado,5
26997,172207.0,0.7575,10,18/03/15,ES61A,2015,1,7.3,30,Formado,6
27001,172207.0,0.7575,10,18/03/15,IF61C,2015,1,7.4,90,Formado,7
27012,172207.0,0.7575,10,18/03/15,FI71M,2015,1,7.9,60,Formado,8
27018,172207.0,0.7575,10,18/03/15,MA71A,2015,1,9.1,90,Formado,9
27024,172207.0,0.7575,10,18/03/15,MA71B,2015,1,8.4,90,Formado,10
26925,172207.0,0.7575,10,18/03/15,QB70D,2015,2,7.6,90,Formado,11
26971,172207.0,0.7575,10,18/03/15,FI62A,2015,2,6.8,75,Formado,12
26978,172207.0,0.7575,10,18/03/15,MA72A,2015,2,5.5,60,Formado,13
26987,172207.0,0.7575,10,18/03/15,IF62C,2015,2,9.1,60,Formado,14
26998,172207.0,0.7575,10,18/03/15,QB62A,2015,2,7.6,90,Formado,15
27000,172207.0,0.7575,10,18/03/15,IF62J,2015,2,7.0,45,Formado,16
27004,172207.0,0.7575,10,18/03/15,FI63A,2015,2,7.7,75,Formado,17
27009,172207.0,0.7575,10,18/03/15,EL62O,2015,2,10.0,45,Formado,18
27010,172207.0,0.7575,10,18/03/15,FI72N,2015,2,8.3,30,Formado,19
27013,172207.0,0.7575,10,18/03/15,FI72M,2015,2,6.0,60,Formado,20
27017,172207.0,0.7575,10,18/03/15,FI73A,2015,2,7.7,75,Formado,21
26974,172207.0,0.7575,10,18/03/15,MA63B,2016,1,7.4,60,Formado,22
26975,172207.0,0.7575,10,18/03/15,MA62A,2016,1,7.2,60,Formado,23
26976,172207.0,0.7575,10,18/03/15,MA63A,2016,1,6.0,60,Formado,24
26977,172207.0,0.7575,10,18/03/15,MA65A,2016,1,6.0,60,Formado,25
26980,172207.0,0.7575,10,18/03/15,ES60A,2016,1,7.3,30,Formado,26
26992,172207.0,0.7575,10,18/03/15,IF63C,2016,1,6.4,45,Formado,27
26993,172207.0,0.7575,10,18/03/15,IF63E,2016,1,7.8,60,Formado,28
26994,172207.0,0.7575,10,18/03/15,EL63B,2016,1,7.4,75,Formado,29
27005,172207.0,0.7575,10,18/03/15,IF63O,2016,1,7.0,45,Formado,30
27014,172207.0,0.7575,10,18/03/15,ES70L,2016,1,7.3,30,Formado,31
27019,172207.0,0.7575,10,18/03/15,MA70H,2016,1,6.0,60,Formado,32
27020,172207.0,0.7575,10,18/03/15,MA73A,2016,1,6.0,60,Formado,33
27023,172207.0,0.7575,10,18/03/15,MA70G,2016,1,7.4,60,Formado,34
27025,172207.0,0.7575,10,18/03/15,MA72A,2016,1,7.2,60,Formado,35
26922,172207.0,0.7575,10,18/03/15,ES70N,2016,2,8.6,30,Formado,36
26981,172207.0,0.7575,10,18/03/15,ES60F,2016,2,8.6,30,Formado,37
26988,172207.0,0.7575,10,18/03/15,EL65G,2016,2,8.2,60,Formado,38
26989,172207.0,0.7575,10,18/03/15,EL65A,2016,2,8.0,90,Formado,39
26990,172207.0,0.7575,10,18/03/15,IF64J,2016,2,8.5,45,Formado,40
26995,172207.0,0.7575,10,18/03/15,FI64C,2016,2,10.0,60,Formado,41
26996,172207.0,0.7575,10,18/03/15,IF64C,2016,2,7.0,45,Formado,42
27006,172207.0,0.7575,10,18/03/15,EL64O,2016,2,9.7,75,Formado,43
26918,172207.0,0.7575,10,18/03/15,CSB30,2017,1,6.1,60,Formado,44
26919,172207.0,0.7575,10,18/03/15,CSA30,2017,1,7.0,45,Formado,45
26920,172207.0,0.7575,10,18/03/15,CSD21,2017,1,7.8,45,Formado,46
26921,172207.0,0.7575,10,18/03/15,CSF30,2017,1,6.4,45,Formado,47
26923,172207.0,0.7575,10,18/03/15,CSF13,2017,1,7.4,90,Formado,48
26926,172207.0,0.7575,10,18/03/15,FI74M,2017,1,8.3,60,Formado,49
26930,172207.0,0.7575,10,18/03/15,FI71S,2017,1,7.9,60,Formado,50
26938,172207.0,0.7575,10,18/03/15,EEB31,2017,1,8.0,90,Formado,51
26939,172207.0,0.7575,10,18/03/15,EEF21,2017,1,6.0,30,Formado,52
26941,172207.0,0.7575,10,18/03/15,FI72S,2017,1,6.8,60,Formado,53
26942,172207.0,0.7575,10,18/03/15,FI73S,2017,1,7.7,60,Formado,54
26943,172207.0,0.7575,10,18/03/15,EEB21,2017,1,7.4,45,Formado,55
