,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO,RowNumber
27985,179624.0,0.8791,10,29/02/16,FI71M,2016,1,7.5,60,Formado,1
27988,179624.0,0.8791,10,29/02/16,MA71A,2016,1,8.8,90,Formado,2
27997,179624.0,0.8791,10,29/02/16,MA71B,2016,1,8.3,90,Formado,3
27998,179624.0,0.8791,10,29/02/16,IF61B,2016,1,9.6,60,Formado,4
28003,179624.0,0.8791,10,29/02/16,ES61A,2016,1,8.0,30,Formado,5
28007,179624.0,0.8791,10,29/02/16,IF61C,2016,1,9.5,90,Formado,6
28008,179624.0,0.8791,10,29/02/16,FI61A,2016,1,7.5,75,Formado,7
28009,179624.0,0.8791,10,29/02/16,MA61B,2016,1,8.3,90,Formado,8
28011,179624.0,0.8791,10,29/02/16,MA61A,2016,1,8.8,90,Formado,9
28041,179624.0,0.8791,10,29/02/16,ES70R,2016,1,8.0,30,Formado,10
27986,179624.0,0.8791,10,29/02/16,EL62O,2016,2,10.0,45,Formado,11
27989,179624.0,0.8791,10,29/02/16,FI72M,2016,2,8.2,60,Formado,12
27992,179624.0,0.8791,10,29/02/16,FI73A,2016,2,8.5,75,Formado,13
27994,179624.0,0.8791,10,29/02/16,MA72A,2016,2,6.5,60,Formado,14
27999,179624.0,0.8791,10,29/02/16,IF62C,2016,2,8.6,60,Formado,15
28000,179624.0,0.8791,10,29/02/16,QB62A,2016,2,9.0,90,Formado,16
28002,179624.0,0.8791,10,29/02/16,IF62J,2016,2,9.5,45,Formado,17
28005,179624.0,0.8791,10,29/02/16,FI63A,2016,2,8.5,75,Formado,18
28006,179624.0,0.8791,10,29/02/16,FI62A,2016,2,8.5,75,Formado,19
28010,179624.0,0.8791,10,29/02/16,MA62A,2016,2,6.5,60,Formado,20
28037,179624.0,0.8791,10,29/02/16,QB70D,2016,2,9.0,90,Formado,21
28042,179624.0,0.8791,10,29/02/16,FI72N,2016,2,9.0,30,Formado,22
27987,179624.0,0.8791,10,29/02/16,QB70C,2017,1,9.0,75,Formado,23
27990,179624.0,0.8791,10,29/02/16,MA70H,2017,1,7.4,60,Formado,24
