Source,Target,Type,Id,Label,Weight
ELB23,ELTE3,Directed,166,,1
ELB23,ELF62,Directed,167,,1
ELB23,EEC21,Directed,168,,1
ELB23,EEQ32,Directed,169,,1
ELB23,CSI30,Directed,170,,1
ELB23,CSH30,Directed,171,,1
ELB23,CSW42,Directed,172,,1
ELB23,CSR30,Directed,173,,1
ELTE3,GE73D,Directed,174,,1
ELTE3,CSW41,Directed,175,,1
ELTE3,CSM44,Directed,176,,1
ELTE3,CSX42,Directed,177,,1
ELTE3,CSH42,Directed,178,,1
ELTE3,EEC31,Directed,179,,1
ELTE3,EL77A,Directed,180,,1
ELTE3,CSS30,Directed,181,,1
ELTE3,DI84D,Directed,182,,1
ELF62,GE73D,Directed,183,,1
ELF62,CSW41,Directed,184,,1
ELF62,CSM44,Directed,185,,1
ELF62,CSX42,Directed,186,,1
ELF62,CSH42,Directed,187,,1
ELF62,EEC31,Directed,188,,1
ELF62,EL77A,Directed,189,,1
ELF62,CSS30,Directed,190,,1
ELF62,DI84D,Directed,191,,1
FI74N,EEE31,Directed,192,,1
FI74N,CSW30,Directed,193,,1
FI74N,CSR31,Directed,194,,1
FI74N,CSG20,Directed,195,,1
FI74N,CSB30,Directed,196,,1
FI74N,CSA30,Directed,197,,1
EEX22,QB70E,Directed,198,,1
EEX22,GE70H,Directed,199,,1
EEX22,ES70G,Directed,200,,1
EEX22,GE70D,Directed,201,,1
EEX22,ELB23,Directed,202,,1
EEX22,EEX23,Directed,203,,1
EEX22,EEF21,Directed,204,,1
EEX22,EEF31,Directed,205,,1
EEX22,CSE30,Directed,206,,1
EEX22,FI74M,Directed,207,,1
EEX22,EL66E,Directed,208,,1
EEX22,EEX22,Directed,209,,1
EEX22,FI74S,Directed,210,,1
EEX22,EEE32,Directed,211,,1
EEX22,CSX54,Directed,212,,1
EEE31,EEX22,Directed,213,,1
EEE31,CSW40,Directed,214,,1
EEE31,CSI30,Directed,215,,1
EEE31,CSX54,Directed,216,,1
EEE31,CSE30,Directed,217,,1
EEE31,CSA31,Directed,218,,1
EEE31,CSO30,Directed,219,,1
CSW30,EEX22,Directed,220,,1
CSW30,CSW40,Directed,221,,1
CSW30,CSI30,Directed,222,,1
CSW30,CSX54,Directed,223,,1
CSW30,CSE30,Directed,224,,1
CSW30,CSA31,Directed,225,,1
CSW30,CSO30,Directed,226,,1
FI74S,QB70E,Directed,227,,1
FI74S,GE70H,Directed,228,,1
FI74S,ES70G,Directed,229,,1
FI74S,GE70D,Directed,230,,1
FI74S,ELB23,Directed,231,,1
FI74S,EEX23,Directed,232,,1
FI74S,EEF21,Directed,233,,1
FI74S,EEF31,Directed,234,,1
FI74S,CSE30,Directed,235,,1
CSW41,ENADE C,Directed,236,,1
CSW41,CSM45,Directed,237,,1
CSW41,CSM41,Directed,238,,1
CSW41,CSX43,Directed,239,,1
CSW41,CSX53,Directed,240,,1
EEX11,MA70G,Directed,241,,1
EEX11,MA70H,Directed,242,,1
EEX11,MA73A,Directed,243,,1
EEX11,EEX21,Directed,244,,1
EEX11,EEB21,Directed,245,,1
EEX11,FI73M,Directed,246,,1
EEX11,CSF30,Directed,247,,1
EEF11,EEE31,Directed,248,,1
EEF11,CSW30,Directed,249,,1
EEF11,CSR31,Directed,250,,1
EEF11,CSG20,Directed,251,,1
EEF11,CSB30,Directed,252,,1
EEF11,CSA30,Directed,253,,1
EEX21,FI74N,Directed,254,,1
EEX21,EEF11,Directed,255,,1
EEX21,EEQ31,Directed,256,,1
EEX21,FI73S,Directed,257,,1
EEX21,EEB31,Directed,258,,1
EEX21,EEB22,Directed,259,,1
EEX21,FI73M,Directed,260,,1
EEX21,CSD21,Directed,261,,1
EEC21,GE73D,Directed,262,,1
EEC21,CSW41,Directed,263,,1
EEC21,CSM44,Directed,264,,1
EEC21,CSX42,Directed,265,,1
EEC21,CSH42,Directed,266,,1
EEC21,EEC31,Directed,267,,1
EEC21,EL77A,Directed,268,,1
EEC21,CSS30,Directed,269,,1
EEC21,DI84D,Directed,270,,1
EEQ32,GE73D,Directed,271,,1
EEQ32,CSW41,Directed,272,,1
EEQ32,CSM44,Directed,273,,1
