('GE70D', 'DI65H', {'weight': 1})
('GE70D', 'ELF51', {'weight': 1})
('GE70D', 'ELTE3', {'weight': 1})
('GE70D', 'ELF62', {'weight': 1})
('GE70D', 'EEC21', {'weight': 1})
('GE70D', 'EEQ32', {'weight': 1})
('GE70D', 'CSI30', {'weight': 1})
('GE70D', 'CSH30', {'weight': 1})
('GE70D', 'CSW42', {'weight': 1})
('GE70D', 'CSR30', {'weight': 1})
('ELF51', 'GE73D', {'weight': 1})
('ELF51', 'CSW41', {'weight': 1})
('ELF51', 'CSM44', {'weight': 1})
('ELF51', 'CSX42', {'weight': 1})
('ELF51', 'CSH42', {'weight': 1})
('ELF51', 'EEC31', {'weight': 1})
('ELF51', 'EL77A', {'weight': 1})
('ELF51', 'CSS30', {'weight': 1})
('ELF51', 'DI84D', {'weight': 1})
('ELB23', 'ES70P', {'weight': 1})
('ELB23', 'DI65H', {'weight': 1})
('ELB23', 'ELF51', {'weight': 1})
('ELB23', 'ELTE3', {'weight': 1})
('ELB23', 'ELF62', {'weight': 1})
('ELB23', 'EEC21', {'weight': 1})
('ELB23', 'EEQ32', {'weight': 1})
('ELB23', 'CSI30', {'weight': 1})
('ELB23', 'CSH30', {'weight': 1})
('ELB23', 'CSW42', {'weight': 1})
('ELB23', 'CSR30', {'weight': 1})
('ELTE3', 'GE73D', {'weight': 1})
('ELTE3', 'CSW41', {'weight': 1})
('ELTE3', 'CSM44', {'weight': 1})
('ELTE3', 'CSX42', {'weight': 1})
('ELTE3', 'CSH42', {'weight': 1})
('ELTE3', 'EEC31', {'weight': 1})
('ELTE3', 'EL77A', {'weight': 1})
('ELTE3', 'CSS30', {'weight': 1})
('ELTE3', 'DI84D', {'weight': 1})
('ELF62', 'GE73D', {'weight': 1})
('ELF62', 'CSW41', {'weight': 1})
('ELF62', 'CSM44', {'weight': 1})
('ELF62', 'CSX42', {'weight': 1})
('ELF62', 'CSH42', {'weight': 1})
('ELF62', 'EEC31', {'weight': 1})
('ELF62', 'EL77A', {'weight': 1})
('ELF62', 'CSS30', {'weight': 1})
('ELF62', 'DI84D', {'weight': 1})
('FI74N', 'EEE31', {'weight': 1})
('FI74N', 'CSW30', {'weight': 1})
('FI74N', 'CSR31', {'weight': 1})
('FI74N', 'CSG20', {'weight': 1})
('FI74N', 'CSB30', {'weight': 1})
('FI74N', 'CSA30', {'weight': 1})
('EEX22', 'QB70E', {'weight': 1})
('EEX22', 'GE70H', {'weight': 1})
('EEX22', 'ES70G', {'weight': 1})
('EEX22', 'GE70D', {'weight': 1})
('EEX22', 'ELB23', {'weight': 1})
('EEX22', 'EEX23', {'weight': 1})
('EEX22', 'EEF21', {'weight': 1})
('EEX22', 'EEF31', {'weight': 1})
('EEX22', 'CSE30', {'weight': 1})
('EEX22', 'FI74M', {'weight': 1})
('EEX22', 'EL66E', {'weight': 1})
('EEX22', 'EEX22', {'weight': 1})
('EEX22', 'FI74S', {'weight': 1})
('EEX22', 'EEE32', {'weight': 1})
('EEX22', 'CSX54', {'weight': 1})
('EEE31', 'EEX22', {'weight': 1})
('EEE31', 'CSW40', {'weight': 1})
('EEE31', 'CSI30', {'weight': 1})
('EEE31', 'CSX54', {'weight': 1})
