('CSR31', 'CSR31', {'weight': 42})
('IF65E', 'IF65E', {'weight': 44})
('IF64C', 'IF64C', {'weight': 45})
('EEE31', 'EEE31', {'weight': 45})
('EL64H', 'EL64H', {'weight': 49})
('EL66H', 'EL66H', {'weight': 49})
('EEF11', 'EEF11', {'weight': 49})
('FI70D', 'FI70D', {'weight': 51})
('EL65G', 'EL65G', {'weight': 54})
('EEB31', 'EEB31', {'weight': 56})
('EL65A', 'EL65A', {'weight': 57})
('MA63B', 'MA63B', {'weight': 57})
('EEE32', 'EEE32', {'weight': 57})
('FI62A', 'FI62A', {'weight': 61})
('FI63A', 'FI63A', {'weight': 61})
('CSO30', 'CSO30', {'weight': 61})
('MA61A', 'MA61A', {'weight': 65})
('CSG20', 'CSG20', {'weight': 66})
('CSI30', 'CSI30', {'weight': 66})
('FI66A', 'FI66A', {'weight': 67})
('QB70D', 'QB70D', {'weight': 69})
('IF62J', 'IF62J', {'weight': 71})
('CSF30', 'CSF30', {'weight': 73})
('MA65A', 'MA65A', {'weight': 76})
('CSB30', 'CSB30', {'weight': 78})
('IF60J', 'IF60J', {'weight': 83})
('MA61B', 'MA61B', {'weight': 84})
('EL68E', 'EL68E', {'weight': 85})
('CSD20', 'CSD20', {'weight': 92})
('MA63A', 'MA63A', {'weight': 92})
('EL65H', 'EL65H', {'weight': 101})
('IF63E', 'IF63E', {'weight': 102})
('EEQ31', 'EEQ31', {'weight': 103})
('EEX11', 'EEX11', {'weight': 104})
('IF65C', 'IF65C', {'weight': 109})
('FI72N', 'FI72N', {'weight': 112})
('CSD21', 'CSD21', {'weight': 112})
('MA62A', 'MA62A', {'weight': 118})
('CSA30', 'CSA30', {'weight': 122})
('EEB22', 'EEB22', {'weight': 126})
('FI74M', 'FI74M', {'weight': 131})
('FI73M', 'FI73M', {'weight': 131})
('IF63C', 'IF63C', {'weight': 138})
('CSF20', 'CSF20', {'weight': 152})
('EEB21', 'EEB21', {'weight': 168})
('CSX54', 'CSX54', {'weight': 169})
('IF60B', 'IF60B', {'weight': 177})
('IF61B', 'IF61B', {'weight': 185})
('CSF13', 'CSF13', {'weight': 192})
('IF61C', 'IF61C', {'weight': 204})
('MA70H', 'MA70H', {'weight': 209})
('EL63B', 'EL63B', {'weight': 216})
('FI73A', 'FI73A', {'weight': 218})
('MA70G', 'MA70G', {'weight': 226})
('CSE20', 'CSE20', {'weight': 242})
('IF62C', 'IF62C', {'weight': 259})
('FI72M', 'FI72M', {'weight': 278})
('MA73A', 'MA73A', {'weight': 360})
('CSX43', 'CSX43', {'weight': 404})
('MA72A', 'MA72A', {'weight': 440})
('MA71B', 'MA71B', {'weight': 445})
('MA71A', 'MA71A', {'weight': 449})
('FI71M', 'FI71M', {'weight': 468})
