,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO
17454,131006.0,0.9616,10,19/08/15,GE70H,2019,2,9.0,30,Formado
17455,131006.0,0.9616,10,19/08/15,QB70D,2016,1,9.8,90,Formado
17456,131006.0,0.9616,10,19/08/15,ES70R,2015,2,9.8,30,Formado
17457,131006.0,0.9616,10,19/08/15,IF63O,2016,2,8.8,45,Formado
17458,131006.0,0.9616,10,19/08/15,FI72N,2016,1,9.9,30,Formado
17459,131006.0,0.9616,10,19/08/15,QB70E,2018,2,9.2,30,Formado
17460,131006.0,0.9616,10,19/08/15,CSW30,2017,2,9.4,60,Formado
17461,131006.0,0.9616,10,19/08/15,FI74S,2017,1,9.9,60,Formado
17462,131006.0,0.9616,10,19/08/15,EEQ32,2017,2,10.0,45,Formado
17463,131006.0,0.9616,10,19/08/15,CL74B,2018,1,9.4,45,Formado
17464,131006.0,0.9616,10,19/08/15,EEY41,2019,1,9.4,30,Formado
17465,131006.0,0.9616,10,19/08/15,FI74N,2017,1,10.0,30,Formado
17466,131006.0,0.9616,10,19/08/15,EEX22,2017,1,9.3,45,Formado
17467,131006.0,0.9616,10,19/08/15,EEE31,2017,2,9.7,60,Formado
17468,131006.0,0.9616,10,19/08/15,EEF11,2017,1,9.5,30,Formado
17469,131006.0,0.9616,10,19/08/15,EEX21,2017,1,10.0,45,Formado
17470,131006.0,0.9616,10,19/08/15,EEC21,2018,2,8.6,60,Formado
17471,131006.0,0.9616,10,19/08/15,CSX43,2021,1,9.5,30,Formado
17474,131006.0,0.9616,10,19/08/15,CSW41,2018,2,9.8,60,Formado
17475,131006.0,0.9616,10,19/08/15,EEX11,2017,2,9.3,45,Formado
17476,131006.0,0.9616,10,19/08/15,CSR31,2017,2,8.8,30,Formado
17477,131006.0,0.9616,10,19/08/15,EEQ31,2017,1,9.1,75,Formado
17478,131006.0,0.9616,10,19/08/15,CSW40,2018,1,9.4,60,Formado
17479,131006.0,0.9616,10,19/08/15,CSX54,2019,2,10.0,400,Formado
17481,131006.0,0.9616,10,19/08/15,FI71S,2017,1,10.0,60,Formado
17482,131006.0,0.9616,10,19/08/15,EEE32,2018,1,9.5,60,Formado
17483,131006.0,0.9616,10,19/08/15,CSI30,2018,2,9.7,45,Formado
