,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO
28978,186021.0,0.7029,10,08/08/16,FI73S,2018,1,9.0,60,Formado
28979,186021.0,0.7029,10,08/08/16,EEF21,2018,2,7.5,30,Formado
28980,186021.0,0.7029,10,08/08/16,CSX53,2023,2,0.0,180,Formado
28981,186021.0,0.7029,10,08/08/16,CSD20,2017,1,7.4,45,Formado
28982,186021.0,0.7029,10,08/08/16,CSE30,2018,2,7.2,60,Formado
28983,186021.0,0.7029,10,08/08/16,CSW30,2019,1,6.5,60,Formado
28984,186021.0,0.7029,10,08/08/16,FI74S,2019,1,6.1,60,Formado
28985,186021.0,0.7029,10,08/08/16,CSB54,2020,2,8.0,60,Formado
28986,186021.0,0.7029,10,08/08/16,CSM45,2022,1,9.1,60,Formado
28987,186021.0,0.7029,10,08/08/16,ELF41,2022,1,6.7,75,Formado
28988,186021.0,0.7029,10,08/08/16,GE79A,2023,1,9.2,30,Formado
28989,186021.0,0.7029,10,08/08/16,EEF11,2018,1,6.3,30,Formado
28990,186021.0,0.7029,10,08/08/16,EEX21,2017,2,8.1,45,Formado
28991,186021.0,0.7029,10,08/08/16,EEC21,2021,1,6.5,60,Formado
28992,186021.0,0.7029,10,08/08/16,EEQ32,2019,2,6.7,45,Formado
28993,186021.0,0.7029,10,08/08/16,FI74N,2019,1,8.1,30,Formado
28994,186021.0,0.7029,10,08/08/16,FI74N,2018,2,5.5,30,Formado
28995,186021.0,0.7029,10,08/08/16,EEX22,2021,1,7.8,45,Formado
28996,186021.0,0.7029,10,08/08/16,EEX22,2020,2,2.5,45,Formado
28997,186021.0,0.7029,10,08/08/16,EEX22,2020,1,-1.0,45,Formado
28998,186021.0,0.7029,10,08/08/16,EEX22,2019,2,2.5,45,Formado
28999,186021.0,0.7029,10,08/08/16,EEE31,2019,2,6.0,60,Formado
29000,186021.0,0.7029,10,08/08/16,MA78K,2022,1,10.0,60,Formado
29001,186021.0,0.7029,10,08/08/16,EEQ31,2018,2,6.1,75,Formado
29002,186021.0,0.7029,10,08/08/16,CSW40,2020,1,9.2,60,Formado
29003,186021.0,0.7029,10,08/08/16,CSW41,2020,2,8.8,60,Formado
29004,186021.0,0.7029,10,08/08/16,EEX11,2018,1,7.0,45,Formado
29005,186021.0,0.7029,10,08/08/16,EEX11,2017,1,4.5,45,Formado
29006,186021.0,0.7029,10,08/08/16,CSX43,2023,2,9.0,30,Formado
29009,186021.0,0.7029,10,08/08/16,CSX54,2023,2,9.5,400,Formado
29011,186021.0,0.7029,10,08/08/16,DI62G,2020,1,-1.0,45,Formado
29012,186021.0,0.7029,10,08/08/16,FI72N,2017,2,5.6,30,Formado
29013,186021.0,0.7029,10,08/08/16,QB70E,2023,1,8.2,30,Formado
29014,186021.0,0.7029,10,08/08/16,QB70E,2021,1,0.0,30,Formado
29015,186021.0,0.7029,10,08/08/16,ES70P,2019,2,9.2,45,Formado
29016,186021.0,0.7029,10,08/08/16,ES70R,2016,2,6.0,30,Formado
29017,186021.0,0.7029,10,08/08/16,MA70H,2017,2,7.2,60,Formado
29018,186021.0,0.7029,10,08/08/16,MA73A,2017,2,6.7,60,Formado
29019,186021.0,0.7029,10,08/08/16,MA71A,2016,2,7.4,90,Formado
29020,186021.0,0.7029,10,08/08/16,FI72M,2017,2,7.4,60,Formado
29021,186021.0,0.7029,10,08/08/16,QB70C,2017,1,7.6,75,Formado
29023,186021.0,0.7029,10,08/08/16,EL66E,2020,2,7.9,120,Formado
29024,186021.0,0.7029,10,08/08/16,IF61B,2016,2,7.4,60,Formado
29025,186021.0,0.7029,10,08/08/16,IF69D,2020,1,8.5,60,Formado
29026,186021.0,0.7029,10,08/08/16,MA71B,2016,2,6.2,90,Formado
29027,186021.0,0.7029,10,08/08/16,MA72A,2017,1,6.0,60,Formado
29028,186021.0,0.7029,10,08/08/16,GE70D,2019,2,9.0,30,Formado
29029,186021.0,0.7029,10,08/08/16,MA70G,2017,2,6.3,60,Formado
29030,186021.0,0.7029,10,08/08/16,MA61A,2016,2,7.4,90,Formado
29031,186021.0,0.7029,10,08/08/16,MA61B,2016,2,6.2,90,Formado
29032,186021.0,0.7029,10,08/08/16,IF61C,2016,2,3.8,90,Formado
29034,186021.0,0.7029,10,08/08/16,CSG20,2018,1,8.3,45,Formado
29035,186021.0,0.7029,10,08/08/16,CSA31,2019,2,9.3,45,Formado
29036,186021.0,0.7029,10,08/08/16,CSB41,2021,2,6.0,60,Formado
29037,186021.0,0.7029,10,08/08/16,CSW42,2020,2,8.8,60,Formado
29038,186021.0,0.7029,10,08/08/16,EEB21,2018,1,7.2,45,Formado
29039,186021.0,0.7029,10,08/08/16,CSB30,2018,2,6.7,60,Formado
29040,186021.0,0.7029,10,08/08/16,CSA30,2019,1,6.5,45,Formado
29041,186021.0,0.7029,10,08/08/16,CSO30,2020,1,8.6,60,Formado
29042,186021.0,0.7029,10,08/08/16,CSO30,2019,2,3.6,60,Formado
29043,186021.0,0.7029,10,08/08/16,EL76A,2021,1,6.5,60,Formado
29044,186021.0,0.7029,10,08/08/16,CSR30,2021,1,7.6,45,Formado
29045,186021.0,0.7029,10,08/08/16,CSS30,2022,1,7.5,60,Formado
29046,186021.0,0.7029,10,08/08/16,CSE20,2017,1,8.9,60,Formado
29047,186021.0,0.7029,10,08/08/16,CSF20,2017,1,8.0,45,Formado
