Período,[OPT],Código,Disciplina,Modelo de disciplina,Aulas teóricas semanais,Aulas práticas semanais,Total de aulas semanais,Total de aulas de APS,Total de aulas de APCC,Total de horas de AD,Total de horas de CHEXT,Total de horas CHEAD,Carga horária total,Pré-requisito(s),Disciplina_EQ,CHT_EQ,Grupo_EQ
 8,[961],CSV50,COMPUTAÇÃO GRÁFICA 2,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSV30,,,
 8,[961],CSV52,VISÃO COMPUTACIONAL,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSV30,,,
 8,[961],CSV53,FUNDAMENTOS DO PROCESSAMENTO DE IMAGENS MÉDICAS,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSV30,,,
 8,[971],CSW43,ARQUITETURA AVANÇADA DE COMPUTADORES,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSW30,,,
 8,[971],CSW44,ARQUITETURA DE COMPUTADORES PARALELOS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSW30,,,
 8,[971],CSW45,ROBÓTICA MÓVEL,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSF30,ICSW45,45,
 8,[971],CSW46,ENGENHARIA DE SISTEMAS APLICADA A SISTEMAS CIBERFÍSICOS,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,CSO30,ICSW46,45,
 8,[971],CSW47,SISTEMAS DE TEMPO REAL,FORMAÇÃO PROFISSIONAL,3,0,3,3,0,0,0,0,45,CSO30,ICSW47,45,
 8,[960],CSW48,LABORATÓRIO DE PROCESSAMENTO DIGITAL DE SINAIS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,EEQ32,EL6EA,60,
 8,[960],CSW49,LÓGICA PROGRAMÁVEL E VHDL,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,EEB31,EL6EC,60,
 8,[971],CSW55,TÓPICOS AVANÇADOS EM SISTEMAS EMBARCADOS,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,CSW41,,,
 8,[973],CSW56,PROGRAMAÇÃO ORIENTADA A NOTIFICAÇÕES,FORMAÇÃO PROFISSIONAL,3,0,3,0,0,0,0,0,45,,ICSI59,45,
 8,[972],DI84D,Web Design,FORMAÇÃO PROFISSIONAL,2,3,5,0,0,0,0,0,75,,DIN83A,60,
 8,[973],ED70T,LIBRAS A,FORMAÇÃO PROFISSIONAL,1,1,2,2,0,0,0,0,30,,"EDU70J ED60F ED70G ED70V","45 30 30 30",
 8,[973],ED70U,LIBRAS B,FORMAÇÃO PROFISSIONAL,1,1,2,2,4,0,0,0,30,ED70T,"ED60G ED70H","30 30",
 8,,EEC31,LABORATÓRIO DE CONTROLE DISCRETO,FORMAÇÃO PROFISSIONAL,0,2,2,2,0,4,0,0,30,EEC21,"ELEC30 ELF72 EL67F EL77A ET77H","30 60 60 60 60",
 8,[960],EEC41,CONTROLE SUPERVISÓRIO,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,EEC31,EL68F,60,
 8,[960],EEC42,CONTROLE INTELIGENTE,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,EEC31,,,
 8,[960],EEC43,IDENTIFICAÇÃO DE SISTEMAS,FORMAÇÃO PROFISSIONAL,3,0,3,3,0,6,0,0,45,EEC31,ELTE10,60,
 8,[960],EEC44,CONTROLE 3,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,EEC31,EL6AC,60,
 8,[960],EEC45,CONTROLE 4,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,EEC31,,,
 8,[960],EEC46,CONTROLE À EVENTOS DISCRETOS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,EEC31,"ELF81 EL6AF EL76B","60 72 60",
 8,[967],EEL51,FOTÔNICA,FORMAÇÃO PROFISSIONAL,3,0,3,3,0,0,0,0,45,FI73S,ELEY43,45,
 8,[971],EES41,INTRODUÇÃO À MICROELETRÔNICA,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,CSW40,EL6EB,60,
 8,,EEX23,OFICINA DE INTEGRAÇÃO 3,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,6,0,0,45,EEX22,ELEX22,45,
 8,[970],EEY41,ENGENHARIA BIOMÉDICA,FORMAÇÃO PROFISSIONAL,1,1,2,2,0,4,0,0,30,EEC21,"ELTA1 EL68D","30 30",
 8,[970],EEY42,BIOENGENHARIA,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,EEE32,"ELTA2 EL6DA","60 60",
 8,[970],EEY43,ENGENHARIA MÉDICA,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,EEE32,"ELTA3 EL6DB","60 60",
 8,[970],EEY44,ENGENHARIA CLÍNICA,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,EEE32,"ELTA4 EL6DC","60 60",
 8,[970],EEY51,INSTRUMENTAÇÃO E TRANSDUÇÃO BIOMÉDICA I,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,EEE32,ELTA6,45,
 8,[970],EEY52,INSTRUMENTAÇÃO E TRANSDUÇÃO BIOMÉDICA II,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,EEC21,ELTA7,45,
 8,[973],ELH03,DESIGN THINKING PARA DESENVOLVIMENTO DE NOVOS PRODUTOS,FORMAÇÃO HUMANISTICA,3,3,6,0,0,0,0,0,90,Período:6,,,
 8,[973],ELSC01,SMART CHALLENGES,FORMAÇÃO PROFISSIONAL,0,2,2,0,0,90,120,0,120,Período:6,,,
 8,[973],ELSP01,SMART PROJECTS,FORMAÇÃO PROFISSIONAL,0,2,2,0,0,90,120,0,120,Período:5,,,
 8,[973],EL6AE,INTRODUÇÃO À ROBÓTICA,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,EEC21,ELTE4,60,
 8,[973],EL6BA,COMUNICAÇÕES ÓPTICAS,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,EL65B,ELTB4,60,
 8,[973],EL6BB,PROCESSAMENTO DA INFORMAÇÃO,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,CSR31,,,
 8,[973],EL6BC,TÓPICOS EM COMUNICAÇÕES,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,"CSR30 CSR31 EL66B",ELTB6,60,
 8,[973],EL6BD,SISTEMAS DE COMUNICAÇÃO 1,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,"CSR30 CSR31 EL66B",ELTB1,60,
 8,[973],EL6BE,SISTEMAS DE COMUNICAÇÃO 2,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,"CSR30 CSR31 EL66B",,,
 8,[973],EL6CA,GESTÃO DA QUALIDADE,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,MA70H,,,
 8,[973],EL6CB,GESTÃO DE PROJETOS TECNOLÓGICOS,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,,ELB92,60,
 8,[973],EL6CC,GESTÃO ESTRATÉGICA DE TECNOLOGIA E INOVAÇÃO,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,,,,
 8,[973],EL6CD,CONFIABILIDADE,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,MA70H,,,
 8,[973],EL6EE,FABRICAÇÃO ELETRÔNICA,FORMAÇÃO PROFISSIONAL,2,2,4,0,0,0,0,0,60,,,,
 8,[973],EL64B,ELETROMAGNETISMO,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,"FI73S MA73A","ELB52 ET64C ET74E","60 60 60",
 8,[973],EL65B,PROPAGAÇÃO DE ONDAS E GUIAS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,EL64B,,,
 8,[973],EL65F,SENSORES E ATUADORES,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,"EEB22 EEC21",ELP62,45,
 8,[973],EL66B,LINHAS DE TRANSMISSÃO E ANTENAS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,EL65B,ELP64,60,
 8,[965],EL75H,ENGENHARIA DE SISTEMAS,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,"CSE30 CSG20","ELEW40 ELN7AB ELTE1","45 45 45",
 8,[973],ES70B,PSICOLOGIA APLICADA AO TRABALHO,FORMAÇÃO PROFISSIONAL,2,0,2,2,0,0,0,0,30,ES70P,"ES65A ES72C FCH7PA","30 30 30",
 8,[973],ES70J,A PRESENÇA AFRICANA NO BRASIL: TECNOLOGIA E TRABALHO,FORMAÇÃO HUMANISTICA,2,0,2,2,0,0,0,0,30,,"ES60E ES72E FCH7XC","30 30 30",
 8,[973],ES70N,HISTÓRIA DA TÉCNICA E DA TECNOLOGIA,FORMAÇÃO HUMANISTICA,2,0,2,2,0,0,0,0,30,,"ES60F ES70S ES81A FCH7HA","30 45 30 45",
 8,[964],ET7GL,LABORATÓRIO DE REDES DE SENSORES SEM FIO,FORMAÇÃO PROFISSIONAL,2,2,4,0,0,0,0,0,60,,ELT7EC,45,
 8,[964],ET7GM,REDES DE SENSORES SEM FIO,FORMAÇÃO PROFISSIONAL,2,2,4,0,0,0,0,0,60,,ELT7EB,45,
 8,[973],FCH7FC,TEORIA DAS CIÊNCIAS HUMANAS,FORMAÇÃO HUMANISTICA,3,0,3,0,0,0,0,0,45,,,,
 8,[973],FCH7GA,METROPOLIZAÇÃO CONTEMPORÂNEA: TECNOLOGIA E TERRITÓRIO,FORMAÇÃO HUMANISTICA,3,0,3,0,0,0,0,0,45,,,,
 8,[973],FCH7HB,HISTÓRIA GERAL DA ECONOMIA,FORMAÇÃO HUMANISTICA,3,0,3,0,0,0,0,0,45,,,,
 8,[973],FCH7HC,CAPITALISMO CONTEMPORÂNEO E ECONOMIA POLÍTICA,FORMAÇÃO HUMANISTICA,3,0,3,0,0,0,0,0,45,,,,
 8,[973],FCH7SC,"TECNOLOGIA, TRABALHO E SAÚDE",FORMAÇÃO HUMANISTICA,3,0,3,0,0,0,0,0,45,,,,
 8,[973],FCH7XF,DIMENSÃO AMBIENTAL NA GESTÃO URBANA,FORMAÇÃO HUMANISTICA,3,0,3,0,0,0,0,0,45,,,,
 8,[973],FCH7XG,TECNOPOLÍTICAS DA SOCIEDADE CONTEMPORÂNEA,FORMAÇÃO HUMANISTICA,3,0,3,0,0,0,0,0,45,,,,
 8,[967],FI70A,MECÂNICA GERAL 1,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,"FI71S MA71B","CC73A COC73F FI62B","60 60 60",
 8,[967],FI70B,MECÂNICA GERAL 2,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,FI70A,FI63B,60,
 8,[967],FI70D,FENÔMENOS DE TRANSPORTE 1,FORMAÇÃO PROFISSIONAL,1,1,2,2,0,0,0,0,30,FI72S,"FI65C FI66A ME65G","90 30 45",
 8,[967],FI70E,FENÔMENOS DE TRANSPORTE 2,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,FI70D,"FI65C FI67A ME66F","90 45 45",
 8,[967],FI77B,ÓTICA,FORMAÇÃO PROFISSIONAL,4,2,6,6,0,0,0,0,90,FI73S,"FI67C FI76G","90 60",
 8,,GE70D,ECONOMIA,FORMAÇÃO PROFISSIONAL,2,0,2,2,0,0,0,0,30,,"GEE7E3 GE60D","30 30",
 8,[973],GE70F,GESTÃO DE PESSOAS,FORMAÇÃO PROFISSIONAL,2,0,2,2,0,0,0,0,30,,"GEE7G1 GE60B","45 30",
 8,[968],ICSB55,CIÊNCIA DE DADOS E MULTIDISCIPLINARIDADE,FORMAÇÃO PROFISSIONAL,1,3,4,0,0,0,0,0,60,,,,
 8,[973],IF6BV,COMPILADORES,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,CSA31,,,
 8,[973],IF6CJ,BIGDATA - PROCESSAMENTO E ANÁLISE DE DADOS EM GRANDE ESCALA,FORMAÇÃO PROFISSIONAL,2,2,4,0,0,0,0,0,60,"CSB30 CSE20",,,
 8,[973],IF6CK,SERVIDORES E APLICAÇÕES PARA LINUX,FORMAÇÃO PROFISSIONAL,2,2,4,0,0,0,0,0,60,CSR30,,,
 8,[973],IF6CM,NoSQL - BANCOS DE DADOS NÃO RELACIONAIS,FORMAÇÃO PROFISSIONAL,2,2,4,0,0,0,0,0,60,CSB30,,,
 8,[973],LEM701,FRANCÊS PARA FINS ACADÊMICOS DD 1,FORMAÇÃO HUMANISTICA,4,0,4,0,0,60,0,0,60,,,,
 8,[973],LEM702,FRANCÊS PARA FINS ACADÊMICOS DD 2,FORMAÇÃO HUMANISTICA,4,0,4,0,0,60,0,0,60,,,,
 8,[973],LEM703,FRANCÊS PARA FINS ACADÊMICOS DD 3,FORMAÇÃO HUMANISTICA,4,0,4,0,0,60,0,0,60,,,,
 8,[973],MA7AV,TÓPICOS MATEMÁTICOS PARA ENGENHEIROS,FORMAÇÃO BÁSICA E CIENTÍFICA,3,0,3,0,0,0,0,0,45,,,,
 8,[966],MA70C,CÁLCULO NUMÉRICO,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,"CSF13 MA71B MA72A","MAT7N1 MA63C","60 60",
 8,[973],QB7AH,EDUCAÇÃO AMBIENTAL,FORMAÇÃO PROFISSIONAL,2,0,2,2,0,0,0,0,30,,"QB56F QB60C QB70L","32 30 30",
 8,[973],QB7AI,ENERGIA E MEIO AMBIENTE,FORMAÇÃO PROFISSIONAL,2,0,2,2,0,0,0,0,30,,"QB54B QB60D","32 30",
 8,[973],QB70F,DESENVOLVIMENTO SUSTENTÁVEL,FORMAÇÃO PROFISSIONAL,2,0,2,2,0,0,0,0,30,,QB60E,30,
 8,[973],QB74I,ECOLOGIA,FORMAÇÃO PROFISSIONAL,2,0,2,2,0,0,0,0,30,,"QB51F QB60B QB70K QB77U","32 30 30 30",
 9,,CSX42,TRABALHO DE CONCLUSÃO DE CURSO 1,FORMAÇÃO PROFISSIONAL,2,0,2,2,0,8,0,0,30,EEX23,,,
 9,,GE70H,GESTÃO FINANCEIRA,FORMAÇÃO PROFISSIONAL,2,0,2,2,0,0,0,0,30,,"GEE7F1 GE60C GE60H","60 30 30",
 9,,QB70E,CIÊNCIAS DO AMBIENTE,FORMAÇÃO PROFISSIONAL,2,0,2,2,0,0,0,0,30,,"QBI7CA QB60A QB70J","30 30 30",
 10,,CSX43,TRABALHO DE CONCLUSÃO DE CURSO 2,TRABALHO DE CONCLUSÃO,0,0,0,36,0,0,0,0,30,CSX42,,,
 10,,EEF31,"ÉTICA, PROFISSÃO E CIDADANIA",FORMAÇÃO PROFISSIONAL,2,0,2,2,0,4,0,0,30,,"ELEF30 ELO91 ET70H IF60A","30 30 30 30",
 10,,ENADE C,ENADE CONCLUINTE,ENADE CONCLUINTE,0,0,0,0,0,0,0,0,0,,,,
 10,,ENADE I,ENADE INGRESSANTE,ENADE INGRESSANTE,0,0,0,0,0,0,0,0,0,,,,
