Período,[OPT],Código,Disciplina,Modelo de disciplina,Aulas teóricas semanais,Aulas práticas semanais,Total de aulas semanais,Total de aulas de APS,Total de aulas de APCC,Total de horas de AD,Total de horas de CHEXT,Total de horas CHEAD,Carga horária total,Pré-requisito(s),Disciplina_EQ,CHT_EQ,Grupo_EQ
 5,,CSW30,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,FORMAÇÃO PROFISSIONAL,2,2,4,2,0,4,0,0,60,"CSF20 EEB31","ELEW30 ELF61 EL66C","60 60 60",
 5,,EEE31,ELETRÔNICA GERAL 1,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,EEB22,"ELEE30 EL65E ET74C","60 120 90",
 5,,EEF21,DESENHO TÉCNICO APLICADO,FORMAÇÃO PROFISSIONAL,0,2,2,2,0,4,0,0,30,"EEF11 EEX11","ELB23 ELEF20 EL74H","30 30 30",
 5,,ES70G,SOCIOLOGIA,FORMAÇÃO PROFISSIONAL,3,0,3,3,0,0,0,0,45,,"ES71D FCH7SA","45 45",
 6,,CSA31,TEORIA DA COMPUTAÇÃO,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSA30,"ICSA31 IF65C","45 45",
 6,,CSE30,ENGENHARIA DE SOFTWARE,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,CSG20,"ICSE30 IF66C","60 60",
 6,,CSO30,SISTEMAS OPERACIONAIS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,CSW30,"ELF66 ICSO30 IF66D","60 60 60",
 6,,CSW40,SISTEMAS MICROCONTROLADOS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,"EEB31 EEE31","ELEW31 ELF52 EL66A","60 60 90",
 6,,CSX54,ESTÁGIO SUPERVISIONADO,ESTÁGIO,0,0,0,0,0,0,0,0,400,Período:6,,,
 6,,EEE32,ELETRÔNICA GERAL 2,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,"EEE31 MA73A","ELEE31 ELP61 EL66E","60 60 120",
 6,,EEX22,OFICINA DE INTEGRAÇÃO 2,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,6,0,0,45,Período:6,"ELEX21 ELE64","45 45",
 7,,CSI30,SISTEMAS INTELIGENTES,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,CSA30,"ICSI30 IF67D","45 60",
 7,,CSR30,REDES DE COMPUTADORES,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,6,0,0,45,CSO30,"ICSR30 IF66B","45 60",
 7,,CSW41,SISTEMAS EMBARCADOS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSW40,"ELEW32 ELF74 ELW74 EL68E","60 60 60 60",
 7,,CSW42,LÓGICA RECONFIGURÁVEL,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSW40,"ELEW33 ELTE3 EL68A","60 60 60",
 7,,EEC21,CONTROLE 1,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,"EEE32 EEQ31","ELEC20 ELF62 EL66F EL76A ET76H","60 60 60 60 60",
