('118844', '161104', {'weight': 1})
('118844', '161222', {'weight': 1})
('118844', '161532', {'weight': 1})
('118844', '161838', {'weight': 1})
('118844', '161839', {'weight': 1})
('118844', '165430', {'weight': 1})
('118844', '165564', {'weight': 1})
('118844', '165682', {'weight': 1})
('118844', '165683', {'weight': 1})
('118844', '165686', {'weight': 1})
('118844', '165687', {'weight': 1})
('118844', '165689', {'weight': 1})
('118844', '165691', {'weight': 1})
('118844', '166078', {'weight': 1})
('118844', '167374', {'weight': 1})
('118844', '169049', {'weight': 1})
('118844', '169315', {'weight': 1})
('118844', '171753', {'weight': 1})
('118844', '172038', {'weight': 1})
('118844', '172041', {'weight': 1})
('118844', '172047', {'weight': 1})
('118844', '172306', {'weight': 1})
('118844', '172973', {'weight': 1})
('118844', '175798', {'weight': 1})
('118844', '179385', {'weight': 1})
('118844', '136734', {'weight': 1})
('118844', '160791', {'weight': 1})
('118844', '161257', {'weight': 1})
('118844', '212672', {'weight': 1})
('118844', '213594', {'weight': 1})
('118844', '229544', {'weight': 1})
('118844', '190499', {'weight': 1})
('118844', '130359', {'weight': 1})
('118844', '157060', {'weight': 1})
('118844', '168864', {'weight': 1})
('118844', '186031', {'weight': 1})
('118844', '208652', {'weight': 1})
('118844', '212674', {'weight': 1})
('118844', '213600', {'weight': 1})
('118844', '186224', {'weight': 1})
('118844', '202455', {'weight': 1})
('123664', '123676', {'weight': 1})
('123664', '123688', {'weight': 1})
('123664', '131006', {'weight': 1})
('123664', '131014', {'weight': 1})
('123664', '179393', {'weight': 1})
('123664', '104372', {'weight': 1})
('123664', '123682', {'weight': 1})
('123664', '165565', {'weight': 1})
('123664', '172042', {'weight': 1})
('123664', '175468', {'weight': 1})
('123664', '179645', {'weight': 1})
('123664', '179821', {'weight': 1})
('123664', '183016', {'weight': 1})
('123664', '186037', {'weight': 1})
('123664', '202688', {'weight': 1})
('123664', '124406', {'weight': 1})
('123664', '130999', {'weight': 1})
('123664', '136043', {'weight': 1})
('123664', '160854', {'weight': 1})
('123664', '161104', {'weight': 1})
('123664', '161839', {'weight': 1})
('123664', '165564', {'weight': 1})
('123664', '165683', {'weight': 1})
('123664', '165686', {'weight': 1})
('123664', '166078', {'weight': 1})
('123664', '167374', {'weight': 1})
('123664', '169049', {'weight': 1})
('123664', '172047', {'weight': 1})
('123664', '175798', {'weight': 1})
('123664', '194218', {'weight': 1})
('123664', '208880', {'weight': 1})
('123664', '168864', {'weight': 1})
('123664', '212903', {'weight': 1})
('123664', '224204', {'weight': 1})
('123664', '219036', {'weight': 1})
('123664', '160838', {'weight': 1})
('123664', '161103', {'weight': 1})
('123664', '177424', {'weight': 1})
('123664', '136731', {'weight': 1})
('123664', '179385', {'weight': 1})
('123664', '183414', {'weight': 1})
('123664', '186027', {'weight': 1})
('123664', '193637', {'weight': 1})
('123664', '202250', {'weight': 1})
('123664', '202417', {'weight': 1})
('123664', '202689', {'weight': 1})
('123664', '202701', {'weight': 1})
('123664', '208887', {'weight': 1})
('123664', '124741', {'weight': 1})
('123664', '241309', {'weight': 1})
('123664', '129034', {'weight': 1})
('123664', '150887', {'weight': 1})
('123664', '190499', {'weight': 1})
('123664', '147820', {'weight': 1})
('123664', '198538', {'weight': 1})
('123664', '90293', {'weight': 1})
('123664', '90327', {'weight': 1})
('123664', '104768', {'weight': 1})
('123664', '125626', {'weight': 1})
('123664', '156565', {'weight': 1})
('123664', '160847', {'weight': 1})
('123664', '160851', {'weight': 1})
('123664', '172409', {'weight': 1})
('123664', '202703', {'weight': 1})
('123676', '136736', {'weight': 1})
('123676', '150873', {'weight': 1})
('123676', '179624', {'weight': 1})
('123676', '179652', {'weight': 1})
('123676', '179819', {'weight': 1})
('123676', '182856', {'weight': 1})
('123676', '183414', {'weight': 1})
('123676', '186021', {'weight': 1})
('123676', '186036', {'weight': 1})
('123676', '189048', {'weight': 1})
('123676', '190495', {'weight': 1})
('123676', '190508', {'weight': 1})
('123676', '190615', {'weight': 1})
